filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,mass_all
X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML,511,naive,142dpi,LA,A1,P120,0.144608635
X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,511,naive,142dpi,LV_bottom,A1,P132,0.130596393
X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,511,naive,142dpi,LV_top,A1,P128,0.173607939
X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,511,naive,142dpi,RA,A1,P124,0.054888021
X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,511,naive,142dpi,RV_bottom,A1,P140,0.029486937
X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,511,naive,142dpi,RV_top,A1,P136,0.058398184
X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML,512,naive,142dpi,LA,A2,P120,0.096696952
X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,512,naive,142dpi,LV_bottom,A2,P132,0.109583462
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,512,naive,142dpi,LV_top,A2,P128,0.15295831
X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,512,naive,142dpi,RA,A2,P124,0.094336349
X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,512,naive,142dpi,RV_bottom,A2,P140,0.043453572
X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,512,naive,142dpi,RV_top,A2,P136,0.058620089
X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML,513,naive,142dpi,LA,A3,P120,0.056176026
X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,513,naive,142dpi,LV_bottom,A3,P132,0.087386926
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,513,naive,142dpi,LV_top,A3,P128,0.256832318
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,513,naive,142dpi,RA,A3,P124,0.134070139
X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,513,naive,142dpi,RV_bottom,A3,P140,0.02818399
