filename,RVB_50DPI
X137.046_0.35,0.001382629
X269.088_0.35,0.111491115
X169.036_0.375,0.554843241
X338.342_3.533,0.68145485
X387.181_2.767,0.554843241
X311.081_2.525,0.554843241
X228.196_2.71,0.554843241
X404.207_2.768,0.554843241
X496.341_2.926,0.560730196
X310.31_3.391,0.782750156
X228.196_3.321,0.822492066
X285.022_2.394,0.554843241
X336.326_3.156,0.849066641
X524.372_3.04,0.684828366
X596.357_2.948,0.903744019
X409.162_2.768,0.554843241
X244.191_2.61,0.736255187
X624.388_3.054,0.406652731
X226.181_2.61,0.603211916
X238.1_2.259,0.554843241
X226.181_3.32,0.773544115
X244.191_3.324,0.874869152
X638.403_3.073,0.473261206
X287.018_2.395,0.56659986
X489.228_2.768,0.554843241
X110.021_5.865,0.564872626
X610.372_2.951,0.849066641
X110.021_6.211,0.554843241
X580.361_2.989,0.773544115
X183.15_2.549,0.718987117
X637.306_3.32,0.554843241
X146.981_3.86,0.554843241
X105.07_2.767,0.554843241
X352.321_3.187,0.554843241
X432.238_2.769,0.554843241
X200.165_3.207,0.554843241
X267.123_2.767,0.554843241
X200.165_2.552,0.752428817
X126.022_0.338,0.554843241
X608.393_3.098,0.554843241
X666.434_3.024,0.554843241
X123.056_0.323,0.554843241
X240.097_2.259,0.554843241
X522.357_2.957,0.985821902
X482.325_3.027,0.718987117
X308.295_3.045,0.56659986
X258.206_2.778,0.554843241
X650.44_3.113,0.554843241
X333.063_2.524,0.554843241
X594.377_3,0.554843241
X282.279_3.26,0.554843241
X285.133_2.768,0.554843241
X790.38_2.768,0.554843241
X582.341_3.046,0.30243314
X622.409_3.109,0.955966863
X100.076_2.546,0.554843241
X366.373_3.699,0.554843241
X401.342_3.422,0.803722291
X636.388_2.978,0.554843241
X214.181_2.634,0.554843241
X198.15_2.471,0.653474359
X132.102_0.307,0.554843241
X110.021_5.953,0.736255187
X369.352_3.849,1
X369.17_2.767,0.554843241
X568.341_2.887,0.931136883
X221.111_2.312,0.874869152
X321.315_3.533,0.554843241
X208.17_3.328,0.554843241
X694.465_3.135,0.554843241
X216.196_2.567,0.554843241
X313.077_2.525,0.554843241
X354.337_3.278,1
X216.16_2.471,1
X137.046_0.42,0.554843241
X111.092_5.384,0.950551604
X520.341_2.89,0.931136883
X425.136_2.773,1
X795.335_2.768,0.554843241
X256.264_3.225,0.938403076
X198.186_3.331,0.554843241
X111.092_5.093,0.873609297
X256.227_2.847,0.554843241
X295.227_3.017,0.30243314
X111.092_4.634,0.554843241
X454.294_2.917,0.554843241
X122.072_5.438,0.721196944
X432.238_2.839,0.554843241
X554.31_2.942,0.554843241
X544.34_2.89,0.792845865
X646.408_3.051,0.56659986
X232.191_2.63,0.165644273
X308.295_3.285,0.554843241
X680.414_3.051,0.554843241
X666.433_3.092,0.554843241
X230.248_2.715,0.554843241
X224.084_2.236,0.803722291
X281.102_2.768,0.554843241
X526.294_2.877,0.849066641
X301.285_2.662,0.554843241
X216.16_3.213,0.684828366
X375.199_2.868,0.718987117
X283.118_2.713,0.554843241
X664.419_3.086,0.857824617
X343.296_2.691,0.746440085
X608.393_3.002,1
X550.351_3.01,0.554843241
X324.29_3.082,0.554843241
X175.148_2.71,0.554843241
X278.248_3.1,0.985821902
X266.173_2.61,0.595631639
X250.178_2.71,0.822492066
X198.149_3.205,0.554843241
X566.346_3.087,0.554843241
X607.227_2.771,0.554843241
X385.346_3.54,0.925656802
X272.222_2.957,0.752428817
X340.285_3.14,1
X734.57_3.377,0.863918293
X191.143_3.329,0.560730196
X622.408_3.044,0.554843241
X173.132_3.332,0.554843241
X296.258_2.976,0.736255187
X324.326_3.469,0.822492066
X568.361_2.947,0.949492725
X319.3_3.156,0.803722291
X199.989_2.374,0.998753758
X678.471_3.228,0.554843241
X622.372_2.977,0.773544115
X334.311_3.335,0.903744019
X480.309_2.951,0.849066641
X502.294_2.879,0.595631639
X674.439_3.163,0.554843241
X184.074_0.312,0.554843241
X175.148_3.322,0.792845865
X385.346_3.401,0.554843241
X387.192_2.843,1
X474.249_2.887,0.554843241
X786.601_3.393,1
X678.398_3.039,0.554843241
X660.424_3.08,0.554843241
X242.212_3.159,0.803722291
X694.429_3.054,0.554843241
X654.332_3.32,0.554843241
X416.337_2.79,0.554843241
X414.14_2.772,1
X400.342_2.89,0.554843241
X212.165_2.546,0.736255187
X636.424_3.106,0.554843241
X801.313_2.768,0.554843241
X991.673_2.928,0.554843241
X800.313_2.771,0.554843241
X668.413_2.991,0.554843241
X313.016_2.379,0.554843241
X538.315_2.977,0.554843241
X429.191_2.885,0.953961274
X606.378_3.022,1
X680.45_3.157,1
X692.414_2.985,0.554843241
X256.227_3.448,0.803722291
X1022.625_3.326,1
X254.212_2.739,0.554843241
X230.175_2.591,0.803722291
X180.175_2.611,0.595631639
X446.218_2.884,1
X620.393_3.029,0.736255187
X313.144_3.062,0.803722291
X152.995_6.215,1
X397.379_3.191,1
X326.306_3.148,0.822492066
X205.017_5.778,0.554843241
X172.133_3.109,0.773544115
X158.962_2.362,0.554843241
X652.383_2.943,1
X374.303_3.189,0.554843241
X172.134_2.343,0.554843241
X670.393_2.893,0.554843241
X510.356_2.983,0.554843241
X109.023_5.881,0.554843241
X242.212_2.78,0.554843241
X654.398_2.907,0.554843241
X149.082_4.832,0.736255187
X153.041_0.336,0.96043982
X254.212_2.792,0.554843241
X402.358_2.884,1
X221.06_2.396,0.554843241
X650.403_3.074,0.554843241
X476.24_2.164,0.554843241
X688.455_3.179,0.773544115
X123.079_4.851,0.554843241
X664.382_2.957,0.554843241
X787.668_3.596,0.554843241
X680.413_3.014,0.554843241
X622.372_3.037,0.788413233
X705.225_2.339,0.736255187
X166.087_0.522,0.702695172
X371.327_2.803,0.554843241
X652.418_3.02,0.554843241
X676.419_3.043,0.373781054
X682.363_3.329,1
X153.041_0.412,0.822492066
X370.332_3.032,0.554843241
X277.216_3.018,0.406652731
X306.279_2.989,0.554843241
X518.322_2.93,0.897127764
X475.989_2.164,0.554843241
X705.141_2.339,0.803722291
X596.393_3.06,0.554843241
X652.418_3.078,0.930221758
X554.288_2.924,0.624724399
X367.336_3.39,0.554843241
X662.402_3.017,0.554843241
X676.454_3.145,0.554843241
X440.359_2.985,0.554843241
X226.081_2.237,0.819426231
X718.429_3.009,0.554843241
X120.102_0.391,1
X142.035_0.315,0.406652731
X482.361_2.958,0.554843241
X426.358_2.916,0.840460582
X119.049_2.77,0.554843241
X245.139_2.376,0.554843241
X149.082_4.735,0.554843241
X566.382_3.018,0.554843241
X285.217_3.322,1
X368.316_2.962,1
X268.227_2.861,0.845795012
X682.429_3.009,0.773544115
X158.962_2.581,0.950551604
X142.948_0.306,0.863918293
X254.212_3.447,1
X289.014_2.395,0.554843241
X696.445_3.083,0.628116131
X638.366_2.95,0.554843241
X776.253_2.398,1
X732.444_2.968,0.554843241
X296.146_2.932,0.554843241
X720.445_3.09,0.773544115
X272.222_3.45,0.554843241
X293.211_2.931,0.406652731
X192.125_4.749,0.773544115
X398.033_0.301,0.554843241
X230.176_2.586,0.554843241
X238.142_2.469,1
X534.286_3.175,0.623885255
X158.962_2.089,0.554843241
X192.125_4.994,0.803722291
X396.332_2.991,0.554843241
X594.341_2.975,0.554843241
X706.464_3.123,0.554843241
X428.374_2.971,0.554843241
X652.419_3.146,1
X368.316_3.329,0.554843241
X303.232_3.023,0.554843241
X720.444_3.034,0.554843241
X251.037_0.329,0.554843241
X478.294_2.879,0.792845865
X114.092_2.075,0.908315991
X254.212_3.319,0.870367532
X632.393_3.152,0.962115223
X810.601_3.479,0.554843241
X484.385_2.982,0.554843241
X708.409_2.912,0.554843241
X114.092_0.357,0.554843241
X150.059_0.3,0.554843241
X776.2_2.398,0.863918293
X245.175_3.33,0.950551604
X352.357_3.617,0.554843241
X819.378_2.399,1
X494.324_2.861,0.795778721
X120.066_0.596,0.631387929
X108.045_2.395,0.554843241
X138.995_6.301,0.773544115
X307.083_0.407,0.554843241
X114.092_2.178,0.554843241
X114.092_6.756,0.554843241
X125.016_2.257,0.554843241
X114.092_0.768,0.554843241
X620.356_2.913,0.406652731
X212.165_2.546.1,0.608308597
X718.428_2.956,0.554843241
X867.458_2.398,0.9951185
X638.367_3.032,1
X552.367_3.052,0.554843241
X412.211_2.304,1
X564.331_3.008,0.554843241
X708.445_3.006,0.554843241
X114.092_1.405,0.554843241
X694.428_2.938,0.554843241
X666.399_2.952,0.554843241
X439.121_2.673,0.437741057
X114.092_1.255,0.927845983
X349.037_2.524,0.554843241
X444.369_2.876,0.803722291
X241.567_2.774,0.554843241
X107.061_4.811,1
X114.092_1.976,0.92799252
X114.092_1.058,0.92799252
X716.45_3.129,0.554843241
X114.092_1.761,1
X818.59_3.473,0.554843241
X149.082_4.686,0.986875126
X388.306_2.704,0.554843241
X441.136_2.721,0.165644273
X648.422_3.047,0.637102945
X350.305_3.132,0.554843241
X690.434_3.14,0.950551604
X819.267_2.398,1
X267.207_3.326,0.998753758
X192.125_4.795,0.803722291
X430.223_2.769,0.64591846
X158.922_0.304,0.803722291
X283.019_0.327,0.554843241
X856.569_3.369,0.554843241
X170.154_3.216,0.554843241
X674.439_3.065,0.560730196
X703.575_5.592,0.554843241
X618.339_2.931,0.554843241
X788.544_3.358,0.736255187
X437.374_2.96,0.554843241
X776.306_2.398,0.803722291
X114.092_2.607,0.677888533
