"","fch","pval","pAdj"
"X137.046_0.35",2.42583407630794,1.55495007914e-05,0.00318675266989778
"X269.088_0.35",1.9932715824678,0.000264302833103572,0.0149228540547122
"X169.036_0.375",0,0.00825761248378455,0.115547354051104
"X338.342_3.533",0.848750657113972,0.532916722661671,0.706812057192601
"X387.181_2.767",0.413981752308404,0.371765620399409,0.549566569286083
"X311.081_2.525",0.619802537582061,0.232811909318818,0.530755685612972
"X228.196_2.71",0.727859881327339,0.148479991170565,0.472988654415307
"X404.207_2.768",0.543056565538734,0.358485190426904,0.536281100000916
"X496.341_2.926",0,0.0797251955374254,0.380227855640029
"X310.31_3.391",1.08288366769885,0.803248082167784,0.909190277931919
"X228.196_3.321",0.514543315122055,0.551160957942367,0.726154562089069
"X285.022_2.394",1.30627796350576,0.00641395794366712,0.0994216686794566
"X336.326_3.156",0.927748252052138,0.663150072697616,0.794875106091683
"X524.372_3.04",0.705847453605937,0.488519886372005,0.676017453264017
"X596.357_2.948",1.18473242848057,0.442870944068807,0.627119536563174
"X409.162_2.768",0.373540091441639,5.61896554302828e-05,0.0075021752542672
"X244.191_2.61",0.942180817603289,0.967417297543179,1
"X624.388_3.054",1.91402486940049,0.000174138936723589,0.0119701590852171
"X226.181_2.61",1.03878827274659,0.933857049437853,1
"X238.1_2.259",1.4882471823702,0.0555296397209032,0.344960158737713
"X226.181_3.32",0.384832689391484,0.614620907340603,0.767244891042632
"X244.191_3.324",0.88126450622883,0.865762140283876,0.957851605170615
"X638.403_3.073",1.72243461741744,0.0113644281563468,0.142596515199875
"X287.018_2.395",0.502683185123003,0.148479991170565,0.472988654415307
"X489.228_2.768",0.218639010324462,8.63861155077776e-07,0.00114718994885397
"X312.326_3.521",1.2713036952089,0.113014915683211,0.472988654415307
"X610.372_2.951",1.55099803613237,0.0234961466635103,0.215347292029043
"X110.021_6.211",0.872142538044993,0.594742445635437,0.753917029461221
"X580.361_2.989",0.995788387652789,0.838134776780856,0.937122406004621
"X183.15_2.549",0.48159087647534,0.0209023068445138,0.197292818633888
"X637.306_3.32",1.29169817193192,0.0442294151169677,0.290755531392623
"X146.981_3.86",0.846840096290546,0.402354899173794,0.58013962206454
"X105.07_2.767",0.450892868584581,3.43223641017469e-05,0.00516796739474874
