"filename","LA_50DPI","RA_50DPI","LVT_50DPI","LVB_50DPI","RVT_50DPI","RVB_50DPI"
"X137.046_0.35",0.025770797,0.461848066,0.003186753,0.002628971,0.012676507,0.001382629
"X269.088_0.35",0.017147341,0.573708011,0.014922854,0.000990604,0.099490917,0.111491115
"X169.036_0.375",0.172271396,0.516540293,0.115547354,0.466014139,NA,0.554843241
"X338.342_3.533",0.943478635,0.590936166,0.706812057,0.466014139,1,0.68145485
"X387.181_2.767",0.006427199,0.573708011,0.549566569,0.002053251,0.333427698,0.554843241
"X311.081_2.525",0.060803258,0.573708011,0.530755686,0.273566244,0.471936502,0.554843241
"X228.196_2.71",0.25446682,0.573708011,0.472988654,0.466014139,0.346690469,0.554843241
"X404.207_2.768",0.008412717,0.920692594,0.5362811,0.002229629,0.314290023,0.554843241
"X496.341_2.926",0.519982787,0.742190114,0.380227856,0.360456852,0.823098114,0.560730196
"X310.31_3.391",0.376686062,0.601593089,0.909190278,0.968247125,0.738665989,0.782750156
"X228.196_3.321",0.844115447,0.993577228,0.726154562,0.88007391,1,0.822492066
"X285.022_2.394",0.011475436,0.573708011,0.099421669,0.252380996,0.738665989,0.554843241
"X336.326_3.156",0.060803258,0.573708011,0.794875106,0.252380996,0.811252862,0.849066641
"X524.372_3.04",0.360358048,0.607980849,0.676017453,0.159186163,0.563736722,0.684828366
"X596.357_2.948",0.092353264,0.414680785,0.627119537,0.038513674,0.823098114,0.903744019
"X409.162_2.768",0.011181917,0.944018057,0.007502175,0.002628971,0.333427698,0.554843241
"X244.191_2.61",0.733538135,0.573708011,1,0.742938774,0.11770099,0.736255187
"X624.388_3.054",0.003193531,0.276244113,0.011970159,0.002229629,0.065968127,0.406652731
"X226.181_2.61",1,0.573708011,1,0.822536593,0.147959261,0.603211916
"X238.1_2.259",0.606262894,0.583533771,0.344960159,0.374883974,0.563736722,0.554843241
"X226.181_3.32",0.816012733,0.994595718,0.767244891,1,0.931617328,0.773544115
"X244.191_3.324",0.790086709,0.914704324,0.957851605,0.990995911,0.931617328,0.874869152
"X638.403_3.073",0.007840049,0.414680785,0.142596515,0.006012127,0.125585325,0.473261206
"X287.018_2.395",0.01415336,0.573708011,0.472988654,0.231128333,0.738665989,0.56659986
"X489.228_2.768",0.005805038,0.573708011,0.00114719,0.002628971,0.151881087,0.554843241
"X110.021_5.865",0.888086217,0.742190114,NA,0.635097282,0.921931597,0.564872626
"X312.326_3.521",0.228617853,0.573708011,0.472988654,0.385074086,NA,NA
"X610.372_2.951",0.195606318,0.466809115,0.215347292,0.018257307,0.823098114,0.849066641
"X110.021_6.211",0.030923534,0.573708011,0.753917029,0.648285993,0.68650764,0.554843241
"X580.361_2.989",0.631644954,0.573708011,0.937122406,0.007850952,NA,0.773544115
"X183.15_2.549",0.265289081,0.796701172,0.197292819,0.162452232,0.930987709,0.718987117
"X637.306_3.32",0.027931862,0.417739887,0.290755531,0.968247125,0.129290202,0.554843241
"X146.981_3.86",0.49290002,0.573708011,0.580139622,0.588135917,0.691005879,0.554843241
"X105.07_2.767",0.008412717,0.968298251,0.005167967,0.002153384,0.314290023,0.554843241
"X352.321_3.187",0.841305494,0.573708011,0.729396031,0.466014139,0.167654956,0.554843241
"X432.238_2.769",0.030923534,0.995699626,0.380227856,0.012937963,0.553960658,0.554843241
"X200.165_3.207",0.209573095,0.573708011,0.472988654,0.910675928,0.563736722,0.554843241
"X267.123_2.767",0.007840049,0.600792279,0.441446483,0.002628971,0.370586635,0.554843241
"X200.165_2.552",0.039845001,0.573708011,0.386605988,0.255068732,1,0.752428817
"X126.022_0.338",0.528258898,0.166046768,0.246089322,0.60998049,0.563736722,0.554843241
"X608.393_3.098",0.052001745,0.173296754,0.530755686,0.009697395,0.048366746,0.554843241
"X666.434_3.024",0.631644954,0.688945746,0.530755686,0.091897548,0.563736722,0.554843241
"X123.056_0.323",0.611937192,0.446495832,0.03309832,0.466014139,NA,0.554843241
"X240.097_2.259",0.503678613,0.573708011,0.344960159,0.360456852,0.563736722,0.554843241
"X522.357_2.957",0.49290002,0.573708011,0.530755686,0.252380996,0.314290023,0.985821902
"X482.325_3.027",0.948267458,0.966885392,0.165115407,0.466014139,0.718387725,0.718987117
"X308.295_3.045",0.041726227,0.573708011,0.530755686,0.355014829,0.604681348,0.56659986
"X258.206_2.778",0.079300635,0.295630051,0.483262166,0.466014139,NA,0.554843241
"X650.44_3.113",0.360358048,0.466809115,0.420275784,0.466014139,0.690098127,0.554843241
