"","fch","pval","pAdj"
"X137.046_0.35",2.19980015616589,0.000996702371208616,0.0257707969161743
"X269.088_0.35",3.71458766699384,0.000469109261659933,0.0171473412125875
"X169.036_0.375",0,0.0384143238141604,0.172271395680399
"X338.342_3.533",0.949652700914764,0.863864850654611,0.94347863529094
"X387.181_2.767",0.381410129385027,2.65476137060469e-05,0.00642719940894219
"X311.081_2.525",0.653513592945916,0.00570350789517522,0.0608032582904948
"X228.196_2.71",0.53737920081072,0.066282157286016,0.254466819816842
"X404.207_2.768",0.390862708807014,8.97899863277855e-05,0.00841271678080158
"X496.341_2.926",0.668884398721733,0.379969841691403,0.519982786564859
"X310.31_3.391",0.924764177359986,0.173608899884423,0.376686061859845
"X228.196_3.321",1.05155780881566,0.743702065375981,0.844115446999742
"X285.022_2.394",0.442613482448923,0.000215062747264139,0.0114754360991292
"X336.326_3.156",0.628322604468461,0.00570350789517522,0.0608032582904948
"X524.372_3.04",1.22157272930265,0.136974224446085,0.360358048184155
"X596.357_2.948",1.46921511443426,0.0127990313408827,0.0923532641996462
"X409.162_2.768",0.323285706263846,0.000174138936723589,0.0111819168142728
"X244.191_2.61",0.875122558628974,0.606447217387745,0.733538135098319
"X624.388_3.054",2.48088474883427,1.25066465735141e-06,0.00319353075931443
"X226.181_2.61",1.07397933199816,1,1
"X238.1_2.259",0.889641040778326,0.460958749211566,0.606262894435096
"X226.181_3.32",1.04478424292912,0.712965124764759,0.816012733340752
"X244.191_3.324",1.0787300623516,0.682673807575057,0.790086709139935
"X638.403_3.073",2.2322368797271,7.12105247685755e-05,0.00784004906564994
"X287.018_2.395",0.447440491085187,0.000323457982051286,0.0141533601633467
"X489.228_2.768",0.224659628540194,2.04103314699719e-05,0.00580503844225118
"X110.021_5.865",0.932559975258815,0.798575036394493,0.88808621675282
"X312.326_3.521",1.57513760380486,0.0562826544432907,0.22861785313001
"X610.372_2.951",1.40352631514157,0.0453338990979227,0.195606318105196
"X110.021_6.211",Inf,0.00152295328439113,0.0309235341484176
"X580.361_2.989",0.90635708760278,0.486364763954452,0.631644954100664
