"","fch","pval","pAdj"
"X137.046_0.35",2.15739150560948,0.000572725521413225,0.0527428139265088
"X269.088_0.35",1.57842222132056,0.00570350789517522,0.20509648170914
"X169.036_0.375",0,6.8661555478264e-07,0.00208662467098444
"X338.342_3.533",0.733599113831705,0.380749319839204,0.612869270652193
"X387.181_2.767",1.19029927700722,0.964640279299396,1
"X311.081_2.525",0.914862594098268,0.324548174828994,0.583261596503476
"X228.196_2.71",0.901120013420562,0.486364763954452,0.717506076532806
"X404.207_2.768",1.36292532939439,0.367998068749511,0.596522948673157
"X496.341_2.926",0.23170905111609,0.261466305877338,0.583261596503476
"X310.31_3.391",0.880156200547425,0.73991018858985,0.875035557614653
"X228.196_3.321",0.364018353787038,0.125435889485263,0.583261596503476
"X285.022_2.394",1.06277871560351,0.835070856627029,0.939182028622408
"X336.326_3.156",0.89786943532687,0.966900054892452,1
"X524.372_3.04",0.265497940560698,0.327393574183358,0.583261596503476
"X596.357_2.948",0.235065408790924,0.14175499997159,0.583261596503476
"X409.162_2.768",1.01128370220865,0.566774494589651,0.768559335229789
"X244.191_2.61",0.882421612765825,0.389233298727313,0.617669795908157
"X624.388_3.054",1.55776685735714,0.000264302833103572,0.0321286523920702
"X226.181_2.61",0.950286797695416,0.682673807575057,0.834531657771761
"X238.1_2.259",0.897523503929508,0.539298539584697,0.747345308617371
"X226.181_3.32",0.354759152099881,0.201376126846215,0.583261596503476
"X244.191_3.324",0.652862445275599,0.18718881625133,0.583261596503476
"X638.403_3.073",1.59063064017127,0.0380025929729083,0.42972799919665
"X287.018_2.395",0.951642936050476,0.173608899884423,0.583261596503476
"X489.228_2.768",1.07200900503371,0.838134776780856,0.940927811834881
"X110.021_5.865",Inf,0.164394222391658,0.583261596503476
"X312.326_3.521",1.1026017527613,0.768527577913484,0.897652744259619
"X610.372_2.951",1.3824934319889,0.0679651181206477,0.512230167522697
"X110.021_6.211",2.60359199462523,0.125435889485263,0.583261596503476
"X580.361_2.989",1.02628508487409,0.80633377841523,0.920529058078093
"X183.15_2.549",0.774322162818714,0.0367175416419757,0.42972799919665
"X637.306_3.32",0.95873645644643,1,1
"X146.981_3.86",0.984849538805437,0.797036183569232,0.91688583088719
"X105.07_2.767",0.95728109700874,0.512486352283095,0.733163865282002
"X352.321_3.187",0.829468453653607,0.634120054667476,0.799954689138423
"X432.238_2.769",1.05536731688871,0.460958749211566,0.689396475813951
"X200.165_3.207",0.77875268425951,0.952668397404915,1
"X267.123_2.767",1.02628233448504,0.864909627604199,0.965635693713872
"X200.165_2.552",0.699301009791924,0.366875192434742,0.595584246692939
"X126.022_0.338",0.788923066140938,0.304590816047085,0.583261596503476
"X608.393_3.098",1.31434077224373,0.0031553753566973,0.162021369291075
"X666.434_3.024",1.91685513580454,0.0127220374319453,0.305333278306878
"X123.056_0.323",1.31013383169246,0.391288843656582,0.620306101133204
"X240.097_2.259",0.913024123117773,0.486364763954452,0.717506076532806
"X522.357_2.957",0.136646329349426,0.125234246135817,0.583261596503476
"X482.325_3.027",0.317986539673192,0.311367697486114,0.583261596503476
"X308.295_3.045",0.786221417074699,0.430442789726453,0.658478493383482
"X258.206_2.778",0.645942006311062,0.771526478448873,0.897652744259619
"X650.44_3.113",0.933952980363456,0.618278672029981,0.799552716723027
"X333.063_2.524",0.889260230662069,0.304590816047085,0.583261596503476
"X594.377_3",1.25233218685012,0.0234961466635103,0.390190107707147
"X282.279_3.26",0.833683753907564,0.950195917836737,1
"X285.133_2.768",0.993089050448257,0.486364763954452,0.717506076532806
"X790.38_2.768",1.01717735057857,0.594883930583728,0.783637739507563
"X582.341_3.046",0.691049834714411,0.411036445616349,0.643554744063929
"X622.409_3.109",1.1107081994416,0.15083246541635,0.583261596503476
"X100.076_2.546",0.312465661526998,0.292456088688432,0.583261596503476
"X366.373_3.699",0.714111683782894,0.105700400686023,0.583261596503476
"X401.342_3.422",0.593892683431303,0.212427936300095,0.583261596503476
"X340.357_3.733",3.64232824422986,0.218416562806934,0.583261596503476
"X636.388_2.978",1.13593848071647,0.0555296397209032,0.512230167522697
"X214.181_2.634",0.401831601851366,0.361567459874719,0.58822457738719
"X198.15_2.471",1.00010381604719,0.5202360544447,0.733163865282002
"X132.102_0.307",1.06409582731598,0.662833123156314,0.817239688129787
"X113.964_6.456",0.127345350529691,0.523998655936988,0.733163865282002
"X110.021_5.953",1.07512288271933,0.458116101646013,0.686496465928122
"X369.352_3.849",0.496335301470016,0.140157082304246,0.583261596503476
"X369.17_2.767",1.0629164758967,0.950384431537606,1
"X568.341_2.887",0.811816444262991,0.232811909318818,0.583261596503476
"X221.111_2.312",0.73962424605268,0.115978749531323,0.583261596503476
"X321.315_3.533",0.566965542680548,0.0343173202994766,0.42972799919665
"X208.17_3.328",0.43416971620204,0.389422615649894,0.617669795908157
"X694.465_3.135",Inf,0.0384143238141604,0.42972799919665
"X216.196_2.567",0.848450757242856,0.267097024243296,0.583261596503476
"X313.077_2.525",0.952381188715626,0.682673807575057,0.834531657771761
"X354.337_3.278",0.892690729885035,0.802708764782391,0.919177755783821
"X216.16_2.471",0.930492339942855,0.584681190967667,0.775915344694646
"X137.046_0.42",0.39103429302221,0.128879700062063,0.583261596503476
"X111.092_5.384",0.512094011005041,0.858669097187959,0.959373303806694
"X652.382_2.947",1.65149130440266,0.0503353009989652,0.506519800449851
"X520.341_2.89",1.04820766250754,0.539298539584697,0.747345308617371
"X425.136_2.773",0.996994686844404,0.594883930583728,0.783637739507563
"X795.335_2.768",1.08269694075534,0.743702065375981,0.878053837093087
"X280.263_3.169",1.23637464822099,0.800841362965851,0.919177755783821
"X256.264_3.225",0.864291868795395,0.582200335027086,0.773636562373115
"X198.186_3.331",0.352806685383946,0.201376126846215,0.583261596503476
"X113.964_6.627",0.797682691019356,0.506024706177613,0.733163865282002
"X111.092_5.093",1.23448992098939,0.522573829816786,0.733163865282002
"X256.227_2.847",0.912764211737078,0.838134776780856,0.940927811834881
"X295.227_3.017",1.51642760472812,0.0463893078669541,0.478030514607613
"X111.092_4.634",0.783201714455858,0.443571941190041,0.673670729273631
"X454.294_2.917",0.250806965646722,0.261466305877338,0.583261596503476
"X122.072_5.438",1.64165259811698,0.183432327642645,0.583261596503476
"X554.31_2.942",1.18017994836563,0.261689162782447,0.583261596503476
"X544.34_2.89",0.96518565990016,1,1
"X646.408_3.051",1.13485865334325,0.493682051010625,0.724082892384792
"X232.191_2.63",1.77399656468727,0.00196295041333822,0.111089155445263
"X308.295_3.285",0.768663530566465,0.360425626134099,0.58822457738719
"X524.335_2.977",Inf,0.0180966134767002,0.329315020093963
"X680.414_3.051",1.73286808327548,0.026313790538109,0.405926951499052
"X666.433_3.092",2.93295803152791,0.00186337166010642,0.108899739905066
"X230.248_2.715",0.833797653147187,0.566774494589651,0.768559335229789
"X678.469_3.244",Inf,0.0384143238141604,0.42972799919665
"X224.084_2.236",1.15251877146836,0.412375778055245,0.643805229181039
"X281.102_2.768",1.03252509012817,0.566774494589651,0.768559335229789
"X526.294_2.877",0.21277123089761,0.522939793311869,0.733163865282002
"X301.285_2.662",Inf,0.350647889704459,0.583261596503476
"X216.16_3.213",0.475453935133383,0.414725473601569,0.646002416337862
