filename,LA_75DPI,RA_75DPI,LVT_75DPI,LVB_75DPI,RVT_75DPI,RVB_75DPI
X137.046_0.35,0.321030403,0.055533692,0.052742814,0.001539285,0.349431239,0.125393857
X269.088_0.35,0.551004142,0.214273264,0.205096482,0.001561584,0.479480181,0.179334774
X169.036_0.375,0.002480055,0.006976381,0.002086625,0.197324981,NA,0.03657295
X338.342_3.533,0.415096828,0.814651586,0.612869271,0.396831039,0.760468593,0.678099861
X387.181_2.767,0.943920125,0.093842354,1,0.531227615,0.072313944,0.139878555
X311.081_2.525,0.854995026,0.656971387,0.583261597,0.789903437,0.127521147,0.463318533
X228.196_2.71,0.665143076,0.524898884,0.717506077,0.921816736,0.479480181,0.580735432
X404.207_2.768,0.83085767,0.178174531,0.596522949,0.450759305,0.033999104,0.179334774
X496.341_2.926,0.647184557,1,0.583261597,0.075188975,0.019875057,0.011732452
X310.31_3.391,1,0.326386158,0.875035558,0.832318996,NA,0.179334774
X228.196_3.321,1,1,0.583261597,1,0.806288922,0.161613652
X285.022_2.394,0.647184557,0.919690613,0.939182029,0.659154813,0.349431239,0.500280149
X336.326_3.156,0.610897049,0.261522554,1,0.363753418,0.019215057,0.463318533
X524.372_3.04,0.657970802,0.402487459,0.583261597,0.19787905,0.32420317,0.161613652
X596.357_2.948,0.647184557,0.486110159,0.583261597,0.399473858,0.229147465,0.03657295
X409.162_2.768,0.854995026,0.326386158,0.768559335,0.56551298,0.041924233,0.24071962
X244.191_2.61,0.938426621,0.249267175,0.617669796,0.832318996,0.409073995,0.26129673
X624.388_3.054,0.647184557,0.48379194,0.032128652,0.018015496,0.32801656,0.674914148
X226.181_2.61,1,0.382633049,0.834531658,0.659154813,0.409073995,0.260510786
X238.1_2.259,0.551004142,0.214273264,0.747345309,0.995097368,0.095737311,0.24071962
X226.181_3.32,1,0.989724472,0.583261597,1,0.546551383,0.125393857
X244.191_3.324,1,0.963732839,0.583261597,1,0.479480181,0.086418091
X638.403_3.073,0.551004142,0.676124072,0.429727999,0.018015496,0.324988493,0.660802131
X287.018_2.395,0.647184557,0.605573259,0.583261597,0.752239235,0.32801656,0.881458043
