"","fch","pval","pAdj"
"X137.046_0.35",1.97604891118042,0.00426618476107663,0.321030403271017
"X269.088_0.35",1.72113951707455,0.058844293402457,0.551004141758596
"X169.036_0.375",0,6.8661555478264e-07,0.0024800553838749
"X338.342_3.533",2.76078971095648,0.0094742664312077,0.415096828177044
"X387.181_2.767",1.27462893808566,0.774840301727361,0.943920124734985
"X311.081_2.525",1.14883738574364,0.623594278712037,0.854995025709543
"X228.196_2.71",0.770122204302975,0.371979239451778,0.665143075692981
"X404.207_2.768",1.33170734173695,0.566774494589651,0.830857670461234
"X496.341_2.926",1.21780553693303,0.291654368264841,0.647184556776958
"X310.31_3.391",1.0040227652775,0.902462275054423,1
"X228.196_3.321",0.918527185430592,0.917402104815946,1
"X285.022_2.394",0.888873966456687,0.267097024243296,0.647184556776958
"X336.326_3.156",0.865380585485285,0.136974224446085,0.610897048640606
"X524.372_3.04",0.878038131546318,0.366875192434742,0.657970801923679
"X596.357_2.948",0.701604074481545,0.304590816047085,0.647184556776958
"X409.162_2.768",1.47110436362244,0.623594278712037,0.854995025709543
"X244.191_2.61",0.79152114284153,0.765914085740201,0.938426620655904
"X624.388_3.054",1.25604743781244,0.324548174828994,0.647184556776958
"X226.181_2.61",0.891341738141954,0.964088838679889,1
"X238.1_2.259",0.669541920451359,0.0742044999172241,0.551004141758596
"X226.181_3.32",0.933978304955421,0.950384431537606,1
"X244.191_3.324",0.93709324561105,1,1
"X638.403_3.073",2.12431369128086,0.0555296397209032,0.551004141758596
"X287.018_2.395",0.881429138036382,0.249556194554941,0.647184556776958
"X489.228_2.768",1.47256904258554,0.838134776780856,0.981947069001769
"X110.021_5.865",3.08406676958225,0.187339508818427,0.647184556776958
"X312.326_3.521",1.2965709397937,0.237103961107386,0.647184556776958
"X610.372_2.951",1.17930262861166,0.934887200362667,1
"X110.021_6.211",3.22703103967252,0.773298070691289,0.943632645721938
"X580.361_2.989",0.907643445034503,0.682673807575057,0.884439667489636
"X183.15_2.549",1.11871807740804,0.774840301727361,0.943920124734985
"X637.306_3.32",0.734275828749069,0.148479991170565,0.610897048640606
"X146.981_3.86",2.70445058960101,0.959200457818776,1
"X105.07_2.767",1.2561052913993,0.712965124764759,0.898319949988471
"X352.321_3.187",1.10464487932785,0.803441156656163,0.957792364313288
"X432.238_2.769",1.55322755001738,0.838134776780856,0.981947069001769
"X200.165_3.207",1.14491292592343,0.285440870895821,0.647184556776958
"X267.123_2.767",1.26132461816878,0.743702065375981,0.920264426220638
"X200.165_2.552",0.826924587343671,0.340032168569414,0.647184556776958
"X126.022_0.338",0.749753765988426,0.148479991170565,0.610897048640606
"X608.393_3.098",1.44167843494243,0.285440870895821,0.647184556776958
"X666.434_3.024",2.03631437675576,0.318967062938127,0.647184556776958
