"","fch","pval","pAdj"
"X137.046_0.35",1.68767792584432,0.0464623378404373,0.605896046288208
"X269.088_0.35",1.61545665705514,0.000695550057788443,0.239037369859962
"X169.036_0.375",0,0.0797251955374254,0.605896046288208
"X338.342_3.533",0.819936480431095,0.932210588178549,1
"X387.181_2.767",2.0324296162365,0.142340830722055,0.605896046288208
"X311.081_2.525",1.07945380574153,0.594883930583728,0.817040851374543
"X228.196_2.71",1.05249654419406,0.774840301727361,0.937262828800442
"X404.207_2.768",2.05258160234093,0.0964013475391515,0.605896046288208
"X496.341_2.926",0.63010093457093,0.361567459874719,0.610441131764468
"X310.31_3.391",0.998877687008461,1,1
"X228.196_3.321",0.788302642129639,0.906796763941729,1
"X285.022_2.394",0.789777616608963,0.955387088128362,1
"X336.326_3.156",1.18391998896286,0.587401491498005,0.811355844134136
"X524.372_3.04",0.741603337655123,0.361567459874719,0.610441131764468
"X596.357_2.948",0.229585503884311,0.179389921132096,0.605896046288208
"X409.162_2.768",0.667453950181084,0.0263540443400591,0.549577572637571
"X244.191_2.61",0.959186714813673,0.366875192434742,0.617380288466082
"X624.388_3.054",0.808372018686407,0.216856638760083,0.605896046288208
"X226.181_2.61",0.942742267757166,0.933857049437853,1
"X238.1_2.259",0.878343281177347,0.460958749211566,0.722262113126328
"X226.181_3.32",0.532729531527158,0.393930749066161,0.64535371126146
"X244.191_3.324",0.785376715639971,0.982900999641897,1
"X638.403_3.073",0.588572910344199,0.0439935483286013,0.605896046288208
"X287.018_2.395",0.951617033423445,0.774840301727361,0.937262828800442
"X489.228_2.768",0.464832651471478,0.0036743109353476,0.315684547861948
"X110.021_5.865",0.229177100433838,1,1
"X312.326_3.521",1.02948614983511,0.568323001828471,0.800153207445626
"X610.372_2.951",0.731083177368525,0.148479991170565,0.605896046288208
"X110.021_6.211",0.318496185745258,0.104141601673986,0.605896046288208
"X580.361_2.989",0.708619577722535,0.0742044999172241,0.605896046288208
"X183.15_2.549",1.41837327804207,0.566774494589651,0.800153207445626
"X637.306_3.32",1.11683358743472,0.623594278712037,0.824354495313634
"X146.981_3.86",1.11522397884828,0.612062492155611,0.824354495313634
"X105.07_2.767",0.673441694558191,0.0185537262328588,0.499014567288976
"X352.321_3.187",1.84602270194163,0.38685331313476,0.641365362196551
"X432.238_2.769",0.719188963075075,0.126147401015694,0.605896046288208
"X200.165_3.207",0.126035312433035,0.14175499997159,0.605896046288208
"X267.123_2.767",1.30303236412755,0.528482352049531,0.77359011589645
"X200.165_2.552",0.968164931879328,0.712965124764759,0.8823843856534
"X126.022_0.338",1.12727059397891,0.682673807575057,0.862897460903004
"X608.393_3.098",0.750533879472428,0.0814293446671917,0.605896046288208
"X666.434_3.024",0.469867964808746,0.0212690519137358,0.512292585113207
"X123.056_0.323",2.60320437267547,0.0541534055342494,0.605896046288208
"X240.097_2.259",0.875717527292596,0.512486352283095,0.767390077089538
"X522.357_2.957",3.98542136938179,0.241115926364406,0.605896046288208
"X482.325_3.027",1.29512323893863,1,1
"X308.295_3.045",1.40024431318061,0.15684080560617,0.605896046288208
"X258.206_2.778",1.30485911381996,0.228977176372438,0.605896046288208
"X650.44_3.113",0.655281441824725,0.0767735880990337,0.605896046288208
"X333.063_2.524",0.972262219408919,0.838134776780856,0.980465531234186
"X594.377_3",0.702061524468966,0.126147401015694,0.605896046288208
