filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_400,mass_500,mass_600,mass_700,mass_800
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,DPI_50,LA,A1,P121,0.004329022,7.62E-03,0.0000454,0.006026924,0.000145139
X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML,501,Group1A,naive,DPI_50,LV_bottom,A1,P133,0.002972957,0.003479303,0.000269898,0.000034,0
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,naive,DPI_50,LV_top,A1,P129,0.010533542,0.020465031,0.00072133,0.001451111,0.0000974
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,DPI_50,RA,A1,P125,0.002276123,0.005112843,0.0000255,0.004763915,0.0000486
X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML,501,Group1A,naive,DPI_50,RV_bottom,A1,P141,0.002313098,0.005796944,0.0000547,0,0
X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,501,Group1A,naive,DPI_50,RV_top,A1,P137,0.000689227,0.003880256,0,0,0
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,DPI_50,LA,A2,P121,0.004129671,0.007778374,0.000312508,0.00817756,0.000861575
X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML,502,Group1A,naive,DPI_50,LV_bottom,A2,P133,0.003200256,0.005721087,0.000964777,1.45E-03,0.000223708
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,naive,DPI_50,LV_top,A2,P129,0.010213984,0.020920025,0.000570535,4.06E-03,0
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,DPI_50,RA,A2,P125,0.011214204,7.53E-03,0,0.0000607,0
X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML,502,Group1A,naive,DPI_50,RV_bottom,A2,P141,0.003466935,0.010414469,0.000750452,0.009553372,0.000984617
X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,502,Group1A,naive,DPI_50,RV_top,A2,P137,0.001208015,0.005265772,0.000110198,0,0
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,503,Group1A,naive,DPI_50,LA,A3,P121,0.00285748,9.48E-03,0.000177773,0.010588891,0.000596837
X503_Group1A_50dpi_LV_bottom_253_B_A3_P133.mzXML,503,Group1A,naive,DPI_50,LV_bottom,A3,P133,0.004692557,0.007977204,0.001291204,0.00082452,0.000237466
