filename,X3A1A_pAdj,X3B1B_pAdj,X3E1C_pAdj,LVT
X141.091_1.54,0.65287003,0.969536881,0.053102714,group9_group15
X203.007_0.309,0.068908454,0.106421236,0.018875579,group15
X240.116_2.324,0.65287003,0.585930037,0.022156935,not_restored
X249.112_2.768,0.015237074,0.936781467,0.003752744,group9
X272.222_2.957,0.028001261,0.822395203,0.010421514,group9
X293.211_2.933,0.000749369,0.035560474,0.010649392,group15
X296.258_2.976,0.019590613,0.935296881,0.061940601,group9_group15
X311.221_2.932,0.00312049,0.04169017,0.004054809,group15
X345.243_3.095,0.003956725,0.935296881,0.001149509,group9
X366.373_3.699,0.417312207,0.475651803,0.018875579,group9_group15
X440.337_2.765,0.51023073,0.935296881,0.001149509,group15
X442.353_2.823,0.321321153,0.935296881,0.000558494,not_restored
X546.029_2.319,0.417312207,0.935296881,0.022156935,group9
X607.227_2.771,0.032573904,0.935296881,0.001149509,group9
X608.227_2.768,0.004111974,0.935296881,0.020118437,group9_group15
X690.434_3.14,0.392483903,0.550750857,0.022156935,group9
X692.414_2.985,0.498203824,0.935296881,0.020118437,group9
X708.445_3.006,0.197577141,0.935296881,0.022156935,group9_group15
X709.936_2.18,0.65287003,0.022689601,0.053000463,group9_group15
X720.445_3.09,0.119534659,0.069718617,0.022156935,group9
X737.391_2.399,0.021894488,0.602771791,0.022156935,group9
X776.042_2.398,0.00214313,0.935296881,0.053000463,group9_group15
X776.095_2.398,0.003956725,0.935296881,0.022156935,group9
X776.148_2.398,0.00214313,0.936781467,0.022156935,group9
X776.359_2.398,0.00214313,0.935296881,0.022156935,group9
X819.433_2.399,0.002724842,1,0.04940736,group9
X867.281_2.399,0.002241645,0.935296881,0.022156935,group9
