"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML",511,"naive","142dpi","RV_top","A1","P136",0.032091931,0.026205891,0.000100362,0,0
"X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML",512,"naive","142dpi","RV_top","A2","P136",0.025402882,0.030534463,0.000454363,0.001898197,0.000330184
"X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML",513,"naive","142dpi","RV_top","A3","P136",0.033665283,0.032277149,0.000964191,0.000102656,0.000358707
"X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML",514,"naive","142dpi","RV_top","A4","P136",0.019596124,0.020882444,0.000388447,0.002484004,9.63e-05
"X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML",515,"naive","142dpi","RV_top","A5","P136",0.05050674,0.045026912,0.000908792,0.000529243,0.000356704
"X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML",531,"naive","142dpi","RV_top","A6","P136",0.014178742,0.009011964,5.19e-05,0.003505334,0.001524456
"X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML",532,"naive","142dpi","RV_top","A7","P136",0.013255028,0.009220371,6.2e-05,0,0
"X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML",533,"naive","142dpi","RV_top","A8","P136",0.013438296,0.007907952,0,0,0
"X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML",534,"naive","142dpi","RV_top","A9","P136",0.025635682,0.025257531,0.000339953,0.000102069,0.000371276
"X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML",535,"naive","142dpi","RV_top","A10","P136",0.025950926,0.021070126,0.000483824,0.000147987,0.000340628
"X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML",551,"naive","142dpi","RV_top","A11","P136",0.009134552,0.006988521,0,4.85e-05,0
"X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML",552,"naive","142dpi","RV_top","A12","P136",0.039027894,0.049926059,0.000340301,0.001124596,0.000814697
"X553_Group1C_142dpi_RV_top_173_G_B1_P136.mzXML",553,"naive","142dpi","RV_top","B1","P136",0.036002003,0.03383119,0.0006165,0.001533659,0.000823851
"X554_Group1C_142dpi_RV_top_174_G_B2_P136.mzXML",554,"naive","142dpi","RV_top","B2","P136",0.031592678,0.030282367,0.000705186,5.99e-05,0
"X555_Group1C_142dpi_RV_top_175_G_B3_P136.mzXML",555,"naive","142dpi","RV_top","B3","P136",0.032367747,0.027459259,0.000803847,0.001927539,0.00027628
"X581_Group3E_142dpi_RV_top_176_G_B4_P136.mzXML",581,"infected","142dpi","RV_top","B4","P136",0.028377749,0.022834037,0.000315686,0.0002324,0
"X582_Group3E_142dpi_RV_top_177_G_B5_P136.mzXML",582,"infected","142dpi","RV_top","B5","P136",0.028718545,0.020977836,0.000173354,0,0
"X583_Group3E_142dpi_RV_top_178_G_B6_P136.mzXML",583,"infected","142dpi","RV_top","B6","P136",0.017991306,0.01655577,0.000197216,0.002339933,0.002753124
"X584_Group3E_142dpi_RV_top_179_G_B7_P136.mzXML",584,"infected","142dpi","RV_top","B7","P136",0.019163335,0.012070618,0.000131078,9.17e-05,0
"X585_Group3E_142dpi_RV_top_180_G_B8_P136.mzXML",585,"infected","142dpi","RV_top","B8","P136",0.010710951,0.007062768,0,0,0
"X611_Group9_142dpi_RV_top_181_G_B9_P136.mzXML",611,"combo","142dpi","RV_top","B9","P136",0.019116954,0.014857672,0.000225908,0,0
"X612_Group9_142dpi_RV_top_182_G_B10_P136.mzXML",612,"combo","142dpi","RV_top","B10","P136",0.019804899,0.013624078,6.21e-05,0,0
"X613_Group9_142dpi_RV_top_183_G_B11_P136.mzXML",613,"combo","142dpi","RV_top","B11","P136",0.020829193,0.021061013,0.000269402,0.000224333,0.000380998
"X614_Group9_142dpi_RV_top_184_G_B12_P136.mzXML",614,"combo","142dpi","RV_top","B12","P136",0.041266806,0.036969392,0.00074842,0.002354155,0.000709065
"X615_Group9_142dpi_RV_top_185_G_C1_P136.mzXML",615,"combo","142dpi","RV_top","C1","P136",0.028154327,0.026192065,0.000672882,6.64e-05,0
"X631_Group15_142dpi_RV_top_191_G_C7_P136.mzXML",631,"BNZ","142dpi","RV_top","C7","P136",0.018138041,0.014911351,0.000266479,0.000892296,0.000540991
"X632_Group15_142dpi_RV_top_192_G_C8_P136.mzXML",632,"BNZ","142dpi","RV_top","C8","P136",0.01249283,0.008998047,4.49e-05,0,0
"X633_Group15_142dpi_RV_top_193_G_C9_P136.mzXML",633,"BNZ","142dpi","RV_top","C9","P136",0.012406685,0.009178553,6.92e-05,0.002474594,0.000565533
"X634_Group15_142dpi_RV_top_194_G_C10_P136.mzXML",634,"BNZ","142dpi","RV_top","C10","P136",0.01513654,0.01452831,0.000398556,0.000356715,0.00010123
"X635_Group15_142dpi_RV_top_195_G_C11_P136.mzXML",635,"BNZ","142dpi","RV_top","C11","P136",0.018959581,0.013924097,0.000128443,0,0
"X666_Group3E_142dpi_RV_top_201_G_D5_P136.mzXML",666,"infected","142dpi","RV_top","D5","P136",0.027372159,0.019342261,7.34e-05,0.002431999,0.000326417
"X667_Group3E_142dpi_RV_top_202_G_D6_P136.mzXML",667,"infected","142dpi","RV_top","D6","P136",0.026557625,0.021274632,0.000449218,0.00110625,0.001861606
"X668_Group3E_142dpi_RV_top_203_G_D7_P136.mzXML",668,"infected","142dpi","RV_top","D7","P136",0.02757191,0.018468214,0.000209633,0,0
"X669_Group3E_142dpi_RV_top_204_G_D8_P136.mzXML",669,"infected","142dpi","RV_top","D8","P136",0.032199356,0.030326058,0.000374924,0.004210324,0.00133191
"X670_Group3E_142dpi_RV_top_205_G_D9_P136.mzXML",670,"infected","142dpi","RV_top","D9","P136",0.018753085,0.015342243,0.000272379,7.37e-05,0
"X696_Group9_142dpi_RV_top_206_G_D10_P136.mzXML",696,"combo","142dpi","RV_top","D10","P136",0.020543366,0.017100891,0.000216527,0.000514048,0.00058857
"X697_Group9_142dpi_RV_top_207_G_D11_P136.mzXML",697,"combo","142dpi","RV_top","D11","P136",0.015475676,0.015357306,0.000230187,0,0
"X698_Group9_142dpi_RV_top_208_G_D12_P136.mzXML",698,"combo","142dpi","RV_top","D12","P136",0.016376,0.011817208,0.0001828,0,0
"X699_Group9_142dpi_RV_top_209_G_E1_P136.mzXML",699,"combo","142dpi","RV_top","E1","P136",0.026619687,0.023592709,0.000492397,0.00105706,0.001039397
"X700_Group9_142dpi_RV_top_210_G_E2_P136.mzXML",700,"combo","142dpi","RV_top","E2","P136",0.018171523,0.011984734,0,0.00011615,0
"X716_Group15_142dpi_RV_top_216_G_E8_P136.mzXML",716,"BNZ","142dpi","RV_top","E8","P136",0.021175258,0.023907936,0,0,0
"X717_Group15_142dpi_RV_top_217_G_E9_P136.mzXML",717,"BNZ","142dpi","RV_top","E9","P136",0.016752807,0.015668638,0.00023984,0.000560671,0.000365202
"X718_Group15_142dpi_RV_top_218_G_E10_P136.mzXML",718,"BNZ","142dpi","RV_top","E10","P136",0.013136061,0.014275026,0.000195078,4.32e-05,0
"X719_Group15_142dpi_RV_top_219_G_E11_P136.mzXML",719,"BNZ","142dpi","RV_top","E11","P136",0.018041321,0.020564314,0.000287903,0.001035579,0.000661472
"X720_Group15_142dpi_RV_top_220_G_E12_P136.mzXML",720,"BNZ","142dpi","RV_top","E12","P136",0.033634745,0.033699527,0.000619968,0.002419877,0.000943952
"X751_Group3E_142dpi_RV_top_226_G_F6_P136.mzXML",751,"infected","142dpi","RV_top","F6","P136",0.044292743,0.042069384,0.001250248,0.015092129,0.005248017
"X752_Group3E_142dpi_RV_top_227_G_F7_P136.mzXML",752,"infected","142dpi","RV_top","F7","P136",0.019104633,0.019862499,0.000800215,0.006109785,0.003366342
"X753_Group3E_142dpi_RV_top_228_G_F8_P136.mzXML",753,"infected","142dpi","RV_top","F8","P136",0.032575379,0.024944813,0.000264527,0.002440796,0.001635274
"X754_Group3E_142dpi_RV_top_229_G_F9_P136.mzXML",754,"infected","142dpi","RV_top","F9","P136",0.020753085,0.017892875,0.000393003,0.001753509,0.000831877
"X755_Group3E_142dpi_RV_top_230_G_F10_P136.mzXML",755,"infected","142dpi","RV_top","F10","P136",0.021125575,0.018483706,0.000612078,0.008863277,0.000593109
"X781_Group9_142dpi_RV_top_231_G_F11_P136.mzXML",781,"combo","142dpi","RV_top","F11","P136",0.016358855,0.01355128,9.57e-05,4.83e-05,0
"X782_Group9_142dpi_RV_top_232_G_F12_P136.mzXML",782,"combo","142dpi","RV_top","F12","P136",0.017869258,0.018779125,0.000221362,0.000548581,0.000788571
"X783_Group9_142dpi_RV_top_233_G_G1_P136.mzXML",783,"combo","142dpi","RV_top","G1","P136",0.028580343,0.029898277,0.000849274,0.007649603,0.003523994
"X784_Group9_142dpi_RV_top_234_G_G2_P136.mzXML",784,"combo","142dpi","RV_top","G2","P136",0.024931044,0.024486902,0.000371469,0.000871385,0.000491451
"X785_Group9_142dpi_RV_top_235_G_G3_P136.mzXML",785,"combo","142dpi","RV_top","G3","P136",0.035448112,0.028373226,0.000606084,0.005327496,0.004334811
"X801_Group15_142dpi_RV_top_241_G_G9_P136.mzXML",801,"BNZ","142dpi","RV_top","G9","P136",0.014946505,0.016214088,0.000455748,0.001809214,0.002247102
"X802_Group15_142dpi_RV_top_242_G_G10_P136.mzXML",802,"BNZ","142dpi","RV_top","G10","P136",0.015542208,0.015814358,0.000231976,0.000398477,0.000569978
"X803_Group15_142dpi_RV_top_243_G_G11_P136.mzXML",803,"BNZ","142dpi","RV_top","G11","P136",0.023771289,0.024346738,0.000358736,0.001392009,0.000955383
"X804_Group15_142dpi_RV_top_244_G_G12_P136.mzXML",804,"BNZ","142dpi","RV_top","G12","P136",0.034191586,0.030175431,0.000337809,0,0
"X805_Group15_142dpi_RV_top_245_G_H1_P136.mzXML",805,"BNZ","142dpi","RV_top","H1","P136",0.034749226,0.038967796,0.00068455,0.00244038,0.001087114
