"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"filename","X137.046_0.31","X169.036_0.372","X184.074_0.312","X215.016_0.331","X231.073_0.435","X285.083_0.446","X344.229_2.208","X366.785_2.164","X410.201_2.128","X414.321_2.745","X458.23_2.165","X473.238_2.238","X482.361_2.958","X508.376_2.995","X587.553_2.334","X664.418_3.08","X669.741_2.258","X692.449_3.051","X760.586_5.601","X856.569_3.369","X949.624_2.926"
"MeanDecreaseAccuracy","2.288527","2.780464","3.187743","2.392060","3.968785","4.283840","2.703364","2.333936","2.494479","2.122302","2.990562","2.716267","2.777208","2.823559","2.291715","2.304503","2.156091","2.168866","2.135836","2.620566","2.736293"
"X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML","0.003265925","0.000000000","0.000835856","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000091800","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.007915718","0.000844159","0.000000000"
"X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML","0.002469523","0.000000000","0.000496071","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000136857","0.000000000","0.000000000","0.000457078","0.000048600","0.000000000","0.000000000","0.000000000","0.000142095","0.005653908","0.002361211","0.000000000"
"X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML","0.006590554","0.000000000","0.001429500","0.000000000","0.000000000","0.000000000","0.000000000","0.000073000","0.000000000","0.000000000","0.000538383","0.000000000","0.000164074","0.000000000","0.000000000","0.000000000","0.000000000","0.000032100","0.000737956","0.001160309","0.000000000"
"X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML","0.001882855","0.000000000","0.000370625","0.000037300","0.000015200","0.000015400","0.000000000","0.000080100","0.000009190","0.000085800","0.000399363","0.000009740","0.000584676","0.000093400","0.000000000","0.000000000","0.000016200","0.000061800","0.000000000","0.000000000","0.000220988"
"X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML","0.004132550","0.000000000","0.000910452","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000040700","0.000194646","0.000000000","0.000432626","0.000022000","0.000000000","0.000000000","0.000053200","0.000142622","0.004993498","0.001517421","0.000022700"
"X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML","0.003516821","0.000000000","0.001082995","0.000018600","0.000000000","0.000000000","0.000000000","0.000286470","0.000000000","0.000071300","0.001441664","0.000000000","0.000728984","0.000069200","0.000000000","0.000000000","0.000058100","0.000080900","0.002140370","0.001076008","0.000028100"
"X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML","0.000000000","0.000000000","0.000904613","0.000029500","0.000000000","0.000000000","0.000000000","0.000023900","0.000000000","0.000077700","0.000172680","0.000054400","0.000074700","0.000011900","0.000000000","0.000000000","0.000184048","0.000000000","0.003819863","0.000000000","0.000000000"
"X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML","0.003482887","0.000000000","0.001052410","0.000072800","0.000000000","0.000057100","0.000000000","0.000154655","0.000014600","0.000016800","0.000717952","0.000020100","0.000613592","0.000135795","0.000000000","0.000000000","0.000055100","0.000047900","0.002690750","0.000926674","0.000152141"
"X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML","0.007689721","0.000000000","0.001108518","0.000145933","0.000000000","0.000000000","0.000000000","0.000143490","0.000011600","0.000055700","0.000757321","0.000042700","0.000163111","0.000013400","0.000000000","0.000000000","0.000149206","0.000000000","0.006391456","0.001274962","0.000020800"
"X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML","0.005308647","0.000000000","0.001638234","0.000017900","0.000000000","0.000000000","0.000000000","0.000027300","0.000000000","0.000086500","0.000190069","0.000000000","0.000494833","0.000047800","0.000000000","0.000000000","0.000058100","0.000072600","0.008839737","0.002714376","0.000033700"
"X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML","0.003997766","0.000000000","0.000649179","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000063700","0.000000000","0.000000000","0.000000000","0.000000000","0.000260690","0.000000000","0.001041620","0.000000000"
"X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML","0.004241892","0.000000000","0.001116948","0.000062300","0.000000000","0.000000000","0.000021400","0.000026100","0.000000000","0.000047100","0.000193273","0.000000000","0.000426699","0.000033600","0.000000000","0.000000000","0.000201772","0.000000000","0.005145490","0.000891048","0.000031000"
"X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML","0.003782271","0.000000000","0.001037749","0.000089900","0.000030700","0.000167349","0.000000000","0.000283195","0.000000000","0.000067600","0.001613642","0.000000000","0.000144712","0.000017800","0.000000000","0.000000000","0.000050900","0.000102187","0.004770603","0.001248719","0.000000000"
"X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML","0.003495430","0.000000000","0.000802230","0.000000000","0.000000000","0.000000000","0.000000000","0.000017400","0.000000000","0.000118042","0.000151660","0.000000000","0.000236849","0.000027700","0.000000000","0.000000000","0.000050000","0.000061500","0.013714310","0.000792679","0.000000000"
"X566_Group3B_70dpi_LA_296_B_D10_P121.mzXML","0.000027200","0.000369569","0.002929299","0.000000000","0.000296336","0.000240134","0.000000000","0.000000000","0.000161954","0.000000000","0.000029600","0.000797042","0.000887305","0.000463238","0.000130884","0.000000000","0.000304851","0.000000000","0.004325825","0.000946913","0.000136691"
"X567_Group3B_70dpi_LA_297_B_D11_P121.mzXML","0.002079999","0.000163429","0.001172228","0.000000000","0.000113479","0.000205029","0.000028400","0.000000000","0.000113414","0.000016700","0.000045900","0.000522971","0.000185714","0.000076100","0.000215429","0.000000000","0.000280800","0.000000000","0.000000000","0.000000000","0.000038900"
"X568_Group3B_70dpi_LA_298_B_D12_P121.mzXML","0.002530918","0.000112977","0.001203259","0.000000000","0.000054800","0.000115375","0.000000000","0.000000000","0.000000000","0.000000000","0.000105857","0.000065800","0.000510473","0.000103352","0.000000000","0.000018800","0.000144985","0.000031400","0.000000000","0.000000000","0.000039700"
"X569_Group3B_70dpi_LA_299_B_E1_P121.mzXML","0.000000000","0.000617748","0.001744419","0.000000000","0.000000000","0.000345683","0.000013500","0.000000000","0.000109128","0.000080100","0.000106259","0.000409698","0.000553733","0.000119473","0.000220853","0.000000000","0.000520125","0.000000000","0.005825399","0.001632392","0.000099900"
"X570_Group3B_70dpi_LA_300_B_E2_P121.mzXML","0.001366143","0.000000000","0.001061291","0.000000000","0.000206186","0.000235280","0.000000000","0.000000000","0.000051400","0.000000000","0.000000000","0.000158118","0.000502184","0.000185947","0.000078000","0.000000000","0.000145469","0.000000000","0.000000000","0.000832336","0.000103473"
"X651_Group3B_70dpi_LA_301_B_E3_P121.mzXML","0.002606963","0.000500417","0.001971703","0.000000000","0.000190535","0.000189016","0.000118771","0.000000000","0.000000000","0.000000000","0.000128539","0.000058000","0.001114701","0.000180269","0.000000000","0.000000000","0.000096000","0.000000000","0.000000000","0.000000000","0.000078300"
"X652_Group3B_70dpi_LA_302_B_E4_P121.mzXML","0.003060236","0.000415174","0.002541268","0.000000000","0.000192677","0.000344863","0.000123922","0.000000000","0.000000000","0.000035100","0.000000000","0.000133230","0.000639502","0.000115927","0.000119769","0.000000000","0.000180709","0.000000000","0.000000000","0.000000000","0.000040900"
"X653_Group3B_70dpi_LA_303_B_E5_P121.mzXML","0.001791786","0.000360359","0.001548210","0.000000000","0.000283956","0.000138163","0.000100409","0.000042300","0.000113782","0.000000000","0.000309902","0.000101358","0.000817482","0.000217215","0.000000000","0.000000000","0.000107292","0.000000000","0.000000000","0.000377043","0.000062900"
"X654_Group3B_70dpi_LA_304_B_E6_P121.mzXML","0.000910144","0.000450682","0.001943201","0.000000000","0.000189306","0.000105628","0.000069600","0.000000000","0.000043800","0.000000000","0.000030600","0.000236511","0.001609579","0.000342401","0.000049600","0.000000000","0.000181112","0.000000000","0.000000000","0.000807716","0.000279080"
"X655_Group3B_70dpi_LA_305_B_E7_P121.mzXML","0.000114363","0.001712318","0.001819071","0.000000000","0.000076200","0.000208679","0.000043000","0.000000000","0.000000000","0.000048100","0.000149073","0.000000000","0.000828403","0.000159227","0.000000000","0.000063800","0.000000000","0.000000000","0.000000000","0.000314757","0.000055700"
"X736_Group3B_70dpi_LA_306_B_E8_P121.mzXML","0.001509655","0.000184248","0.001822118","0.000000000","0.000270056","0.000158783","0.000040700","0.000000000","0.000000000","0.000000000","0.000061700","0.000178683","0.000698654","0.000117468","0.000000000","0.000027600","0.000216647","0.000000000","0.001390287","0.000396723","0.000047900"
"X737_Group3B_70dpi_LA_307_B_E9_P121.mzXML","0.001437292","0.000000000","0.001696619","0.000000000","0.000250537","0.000320863","0.000030300","0.000000000","0.000084800","0.000023100","0.000052300","0.000320863","0.000356026","0.000124829","0.000078700","0.000099600","0.000208341","0.000000000","0.000000000","0.000000000","0.000000000"
"X738_Group3B_70dpi_LA_308_B_E10_P121.mzXML","0.001889313","0.000000000","0.001910132","0.000000000","0.000445003","0.000385149","0.000035800","0.000000000","0.000038400","0.000025700","0.000070400","0.000223621","0.000512665","0.000131350","0.000062300","0.000103381","0.000220080","0.000020900","0.001191881","0.000000000","0.000033800"
"X739_Group3B_70dpi_LA_309_B_E11_P121.mzXML","0.001660373","0.000684358","0.001258484","0.000000000","0.000036100","0.000185916","0.000039800","0.000000000","0.000000000","0.000026600","0.000055800","0.000054100","0.000463894","0.000127666","0.000035200","0.000017400","0.000123710","0.000000000","0.000000000","0.000679765","0.000043300"
"X740_Group3B_70dpi_LA_310_B_E12_P121.mzXML","0.006161253","0.000082100","0.001510900","0.000000000","0.000000000","0.000065200","0.000043500","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000637798","0.000032200","0.000000000","0.000022500","0.000000000","0.000000000","0.000947409","0.000000000","0.000049900"
