filename,X137.046_0.31,X169.036_0.372,X184.074_0.312,X215.016_0.331,X231.073_0.435,X285.083_0.446,X344.229_2.208,X366.785_2.164,X410.201_2.128,X414.321_2.745,X458.23_2.165,X473.238_2.238,X482.361_2.958,X508.376_2.995,X587.553_2.334,X664.418_3.08,X669.741_2.258,X692.449_3.051,X760.586_5.601,X856.569_3.369,X949.624_2.926
X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,0.003265925,0,0.000835856,0,0,0,0,0,0,0,0,0,0.0000918,0,0,0,0,0,0.007915718,0.000844159,0
X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,0.002469523,0,0.000496071,0,0,0,0,0,0,0.000136857,0,0,0.000457078,0.0000486,0,0,0,0.000142095,0.005653908,0.002361211,0
X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,0.006590554,0,0.0014295,0,0,0,0,0.000073,0,0,0.000538383,0,0.000164074,0,0,0,0,0.0000321,0.000737956,0.001160309,0
X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,0.001882855,0,0.000370625,0.0000373,0.0000152,0.0000154,0,0.0000801,0.00000919,0.0000858,0.000399363,0.00000974,0.000584676,0.0000934,0,0,0.0000162,0.0000618,0,0,0.000220988
X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,0.00413255,0,0.000910452,0,0,0,0,0,0,0.0000407,0.000194646,0,0.000432626,0.000022,0,0,0.0000532,0.000142622,0.004993498,0.001517421,0.0000227
X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,0.003516821,0,0.001082995,0.0000186,0,0,0,0.00028647,0,0.0000713,0.001441664,0,0.000728984,0.0000692,0,0,0.0000581,0.0000809,0.00214037,0.001076008,0.0000281
X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,0,0,0.000904613,0.0000295,0,0,0,0.0000239,0,0.0000777,0.00017268,0.0000544,0.0000747,0.0000119,0,0,0.000184048,0,0.003819863,0,0
X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,0.003482887,0,0.00105241,0.0000728,0,0.0000571,0,0.000154655,0.0000146,0.0000168,0.000717952,0.0000201,0.000613592,0.000135795,0,0,0.0000551,0.0000479,0.00269075,0.000926674,0.000152141
X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,0.007689721,0,0.001108518,0.000145933,0,0,0,0.00014349,0.0000116,0.0000557,0.000757321,0.0000427,0.000163111,0.0000134,0,0,0.000149206,0,0.006391456,0.001274962,0.0000208
X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML,0.005308647,0,0.001638234,0.0000179,0,0,0,0.0000273,0,0.0000865,0.000190069,0,0.000494833,0.0000478,0,0,0.0000581,0.0000726,0.008839737,0.002714376,0.0000337
X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML,0.003997766,0,0.000649179,0,0,0,0,0,0,0,0,0,0.0000637,0,0,0,0,0.00026069,0,0.00104162,0
X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML,0.004241892,0,0.001116948,0.0000623,0,0,0.0000214,0.0000261,0,0.0000471,0.000193273,0,0.000426699,0.0000336,0,0,0.000201772,0,0.00514549,0.000891048,0.000031
X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML,0.003782271,0,0.001037749,0.0000899,0.0000307,0.000167349,0,0.000283195,0,0.0000676,0.001613642,0,0.000144712,0.0000178,0,0,0.0000509,0.000102187,0.004770603,0.001248719,0
X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML,0.00349543,0,0.00080223,0,0,0,0,0.0000174,0,0.000118042,0.00015166,0,0.000236849,0.0000277,0,0,0.00005,0.0000615,0.01371431,0.000792679,0
X566_Group3B_70dpi_LA_296_B_D10_P121.mzXML,0.0000272,0.000369569,0.002929299,0,0.000296336,0.000240134,0,0,0.000161954,0,0.0000296,0.000797042,0.000887305,0.000463238,0.000130884,0,0.000304851,0,0.004325825,0.000946913,0.000136691
X567_Group3B_70dpi_LA_297_B_D11_P121.mzXML,0.002079999,0.000163429,0.001172228,0,0.000113479,0.000205029,0.0000284,0,0.000113414,0.0000167,0.0000459,0.000522971,0.000185714,0.0000761,0.000215429,0,0.0002808,0,0,0,0.0000389
X568_Group3B_70dpi_LA_298_B_D12_P121.mzXML,0.002530918,0.000112977,0.001203259,0,0.0000548,0.000115375,0,0,0,0,0.000105857,0.0000658,0.000510473,0.000103352,0,0.0000188,0.000144985,0.0000314,0,0,0.0000397
X569_Group3B_70dpi_LA_299_B_E1_P121.mzXML,0,0.000617748,0.001744419,0,0,0.000345683,0.0000135,0,0.000109128,0.0000801,0.000106259,0.000409698,0.000553733,0.000119473,0.000220853,0,0.000520125,0,0.005825399,0.001632392,0.0000999
X570_Group3B_70dpi_LA_300_B_E2_P121.mzXML,0.001366143,0,0.001061291,0,0.000206186,0.00023528,0,0,0.0000514,0,0,0.000158118,0.000502184,0.000185947,0.000078,0,0.000145469,0,0,0.000832336,0.000103473
X651_Group3B_70dpi_LA_301_B_E3_P121.mzXML,0.002606963,0.000500417,0.001971703,0,0.000190535,0.000189016,0.000118771,0,0,0,0.000128539,0.000058,0.001114701,0.000180269,0,0,0.000096,0,0,0,0.0000783
X652_Group3B_70dpi_LA_302_B_E4_P121.mzXML,0.003060236,0.000415174,0.002541268,0,0.000192677,0.000344863,0.000123922,0,0,0.0000351,0,0.00013323,0.000639502,0.000115927,0.000119769,0,0.000180709,0,0,0,0.0000409
X653_Group3B_70dpi_LA_303_B_E5_P121.mzXML,0.001791786,0.000360359,0.00154821,0,0.000283956,0.000138163,0.000100409,0.0000423,0.000113782,0,0.000309902,0.000101358,0.000817482,0.000217215,0,0,0.000107292,0,0,0.000377043,0.0000629
X654_Group3B_70dpi_LA_304_B_E6_P121.mzXML,0.000910144,0.000450682,0.001943201,0,0.000189306,0.000105628,0.0000696,0,0.0000438,0,0.0000306,0.000236511,0.001609579,0.000342401,0.0000496,0,0.000181112,0,0,0.000807716,0.00027908
X655_Group3B_70dpi_LA_305_B_E7_P121.mzXML,0.000114363,0.001712318,0.001819071,0,0.0000762,0.000208679,0.000043,0,0,0.0000481,0.000149073,0,0.000828403,0.000159227,0,0.0000638,0,0,0,0.000314757,0.0000557
X736_Group3B_70dpi_LA_306_B_E8_P121.mzXML,0.001509655,0.000184248,0.001822118,0,0.000270056,0.000158783,0.0000407,0,0,0,0.0000617,0.000178683,0.000698654,0.000117468,0,0.0000276,0.000216647,0,0.001390287,0.000396723,0.0000479
X737_Group3B_70dpi_LA_307_B_E9_P121.mzXML,0.001437292,0,0.001696619,0,0.000250537,0.000320863,0.0000303,0,0.0000848,0.0000231,0.0000523,0.000320863,0.000356026,0.000124829,0.0000787,0.0000996,0.000208341,0,0,0,0
X738_Group3B_70dpi_LA_308_B_E10_P121.mzXML,0.001889313,0,0.001910132,0,0.000445003,0.000385149,0.0000358,0,0.0000384,0.0000257,0.0000704,0.000223621,0.000512665,0.00013135,0.0000623,0.000103381,0.00022008,0.0000209,0.001191881,0,0.0000338
X739_Group3B_70dpi_LA_309_B_E11_P121.mzXML,0.001660373,0.000684358,0.001258484,0,0.0000361,0.000185916,0.0000398,0,0,0.0000266,0.0000558,0.0000541,0.000463894,0.000127666,0.0000352,0.0000174,0.00012371,0,0,0.000679765,0.0000433
X740_Group3B_70dpi_LA_310_B_E12_P121.mzXML,0.006161253,0.0000821,0.0015109,0,0,0.0000652,0.0000435,0,0,0,0,0,0.000637798,0.0000322,0,0.0000225,0,0,0.000947409,0,0.0000499
