"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML",511,"naive","142dpi","LA","A1","P120",0.002077955,0.002490702,0,0.000232453,0.000149389
"X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML",512,"naive","142dpi","LA","A2","P120",0.001422483,0.001827962,2.59e-05,0.000955615,0
"X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML",513,"naive","142dpi","LA","A3","P120",0.000422008,0.001031656,4.61e-05,0,0
"X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML",514,"naive","142dpi","LA","A4","P120",0.00186151,0.002679198,1.95e-05,0.001053337,8.18e-05
"X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML",515,"naive","142dpi","LA","A5","P120",0.001966674,0.002742174,2e-05,0.000639894,0.00015191
"X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML",531,"naive","142dpi","LA","A6","P120",0.001182584,0.001621899,3.75e-05,0,0
"X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML",532,"naive","142dpi","LA","A7","P120",0.001504649,0.001894215,5.66e-05,0.000106,0
"X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML",533,"naive","142dpi","LA","A8","P120",0.000233053,0.000824168,0,0,0
"X534_Group1C_142dpi_LA_169_G_A9_P120.mzXML",534,"naive","142dpi","LA","A9","P120",0.001368836,0.002097561,2.31e-05,0.000500256,7.72e-05
"X535_Group1C_142dpi_LA_170_G_A10_P120.mzXML",535,"naive","142dpi","LA","A10","P120",0.000696004,0.002011549,2.95e-05,0.002329258,8.48e-05
"X551_Group1C_142dpi_LA_171_G_A11_P120.mzXML",551,"naive","142dpi","LA","A11","P120",0.001927404,0.003465862,7.35e-05,0.001539389,0.000180591
"X552_Group1C_142dpi_LA_172_G_A12_P120.mzXML",552,"naive","142dpi","LA","A12","P120",0.001847992,0.003467323,0,0.002499821,8.9e-05
"X553_Group1C_142dpi_LA_173_G_B1_P120.mzXML",553,"naive","142dpi","LA","B1","P120",0.002746289,0.00415747,0.000101723,0.002059262,0.000232048
"X554_Group1C_142dpi_LA_174_G_B2_P120.mzXML",554,"naive","142dpi","LA","B2","P120",0.000427877,0.0013953,0.00010639,0.000836145,0
"X555_Group1C_142dpi_LA_175_G_B3_P120.mzXML",555,"naive","142dpi","LA","B3","P120",0.002605183,0.002725392,0,0.000988586,0.000120159
