"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML",511,"naive","142dpi","RA","A1","P124",0.019942835,0.02502781,0.000415632,0.005854332,0.003647412
"X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML",512,"naive","142dpi","RA","A2","P124",0.036269927,0.0424,0.000906489,0.01103642,0.003723513
"X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML",513,"naive","142dpi","RA","A3","P124",0.031512615,0.0547,0.001419182,0.025528456,0.020909886
"X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML",514,"naive","142dpi","RA","A4","P124",0.034280176,0.039614432,0.00091083,0.003097366,0.00538055
"X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML",515,"naive","142dpi","RA","A5","P124",0.02349768,0.0273,0.001071729,0.00405903,0.002179902
"X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML",531,"naive","142dpi","RA","A6","P124",0.025858216,0.0334,0.0009383,0.0129,0.007982976
"X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML",532,"naive","142dpi","RA","A7","P124",0.024761672,0.026102286,0.000211087,0.007370659,0.004820024
"X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML",533,"naive","142dpi","RA","A8","P124",0.028949127,0.0345,0.001267203,0.011881974,0.00782687
"X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML",534,"naive","142dpi","RA","A9","P124",0.035838137,0.036084867,0.0001523,0.000468412,0
"X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML",535,"naive","142dpi","RA","A10","P124",0.023746006,0.031788389,0.000581695,0.001106489,0.001231509
"X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML",551,"naive","142dpi","RA","A11","P124",0.027313346,0.0437,0.00105068,0.02652729,0.024057841
"X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML",552,"naive","142dpi","RA","A12","P124",0.031452763,0.0328,0.000927309,0.005411842,0.001951292
"X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML",553,"naive","142dpi","RA","B1","P124",0.024705978,0.02852526,0.000568868,0.004297495,0.003629028
"X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML",554,"naive","142dpi","RA","B2","P124",0.023311965,0.030060667,0.00064487,0.010448144,0.00540186
"X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML",555,"naive","142dpi","RA","B3","P124",0.033103813,0.0349,0.00102993,0.00895,0.005288455
"X581_Group3E_142dpi_RA_176_G_B4_P124.mzXML",581,"infected","142dpi","RA","B4","P124",0.046698557,0.049084091,0.000933,0.012035066,0.013508859
"X582_Group3E_142dpi_RA_177_G_B5_P124.mzXML",582,"infected","142dpi","RA","B5","P124",0.054074597,0.076360612,0.000662,0.034576449,0.007365232
"X583_Group3E_142dpi_RA_178_G_B6_P124.mzXML",583,"infected","142dpi","RA","B6","P124",0.024673167,0.027011814,0.000416,0.003147407,0.000313457
"X584_Group3E_142dpi_RA_179_G_B7_P124.mzXML",584,"infected","142dpi","RA","B7","P124",0.020476754,0.0269,0.000715,0.025465232,0.022815355
"X585_Group3E_142dpi_RA_180_G_B8_P124.mzXML",585,"infected","142dpi","RA","B8","P124",0.050556666,0.063827282,0.000854813,0.028639445,0.020467843
"X611_Group9_142dpi_RA_181_G_B9_P124.mzXML",611,"combo","142dpi","RA","B9","P124",0.025391195,0.0275,0.000623198,0.000683356,0.00048543
"X612_Group9_142dpi_RA_182_G_B10_P124.mzXML",612,"combo","142dpi","RA","B10","P124",0.034259218,0.03677236,0.000867025,0.009992561,0.00390325
"X613_Group9_142dpi_RA_183_G_B11_P124.mzXML",613,"combo","142dpi","RA","B11","P124",0.054666662,0.055271313,0.000332905,0.009665168,0.007541397
"X614_Group9_142dpi_RA_184_G_B12_P124.mzXML",614,"combo","142dpi","RA","B12","P124",0.055833179,0.043107044,0.0001253,0.00100394,0.000719755
"X615_Group9_142dpi_RA_185_G_C1_P124.mzXML",615,"combo","142dpi","RA","C1","P124",0.027537911,0.025750793,0.000347477,0.000953228,0.000561463
"X631_Group15_142dpi_RA_191_G_C7_P124.mzXML",631,"BNZ","142dpi","RA","C7","P124",0.033564576,0.0392,0.000785318,0.0135,0.001570132
"X632_Group15_142dpi_RA_192_G_C8_P124.mzXML",632,"BNZ","142dpi","RA","C8","P124",0.03413707,0.0316,0.000947276,0.0068,0.003040254
"X633_Group15_142dpi_RA_193_G_C9_P124.mzXML",633,"BNZ","142dpi","RA","C9","P124",0.043665736,0.065050734,0.001529953,0.021932445,0.013205718
"X634_Group15_142dpi_RA_194_G_C10_P124.mzXML",634,"BNZ","142dpi","RA","C10","P124",0.045701384,0.058289604,0.001008407,0.012382975,0.014013995
"X635_Group15_142dpi_RA_195_G_C11_P124.mzXML",635,"BNZ","142dpi","RA","C11","P124",0.031402833,0.0325,0.000934736,0.008034025,0.005570937
"X666_Group3E_142dpi_RA_201_G_D5_P124.mzXML",666,"infected","142dpi","RA","D5","P124",0.023677223,0.032270526,0.000845291,0.024808733,0.017886095
"X667_Group3E_142dpi_RA_202_G_D6_P124.mzXML",667,"infected","142dpi","RA","D6","P124",0.033146953,0.024774442,0.000508416,0.006772067,0.004919932
"X668_Group3E_142dpi_RA_203_G_D7_P124.mzXML",668,"infected","142dpi","RA","D7","P124",0.020215867,0.026309529,0.000437,0.016,0.012272432
"X669_Group3E_142dpi_RA_204_G_D8_P124.mzXML",669,"infected","142dpi","RA","D8","P124",0.020467984,0.026148864,0.000716634,0.008185778,0.005800175
"X670_Group3E_142dpi_RA_205_G_D9_P124.mzXML",670,"infected","142dpi","RA","D9","P124",0.029771576,0.030465794,0.000477,0.008640208,0.002907744
"X696_Group9_142dpi_RA_206_G_D10_P124.mzXML",696,"combo","142dpi","RA","D10","P124",0.01829905,0.024188143,0.000427581,0.017586763,0.019199172
"X697_Group9_142dpi_RA_207_G_D11_P124.mzXML",697,"combo","142dpi","RA","D11","P124",0.032224591,0.030621431,0.000793577,0.02038417,0.012532026
"X698_Group9_142dpi_RA_208_G_D12_P124.mzXML",698,"combo","142dpi","RA","D12","P124",0.036586358,0.044956038,0.000617233,0.036789057,0.030950827
"X699_Group9_142dpi_RA_209_G_E1_P124.mzXML",699,"combo","142dpi","RA","E1","P124",0.057714673,0.050793762,0.000608656,0.009554335,0.005882736
"X700_Group9_142dpi_RA_210_G_E2_P124.mzXML",700,"combo","142dpi","RA","E2","P124",0.061924726,0.0611,0.000702161,0.032454416,0.010214811
"X716_Group15_142dpi_RA_216_G_E8_P124.mzXML",716,"BNZ","142dpi","RA","E8","P124",0.04125105,0.046709225,0.001007273,0.018825742,0.006132921
"X717_Group15_142dpi_RA_217_G_E9_P124.mzXML",717,"BNZ","142dpi","RA","E9","P124",0.032846815,0.046184359,0.001012795,0.00466,0.002972458
"X718_Group15_142dpi_RA_218_G_E10_P124.mzXML",718,"BNZ","142dpi","RA","E10","P124",0.028733806,0.029894449,0.000828,0.00928003,0.007344513
"X719_Group15_142dpi_RA_219_G_E11_P124.mzXML",719,"BNZ","142dpi","RA","E11","P124",0.042143442,0.061172124,0.000939877,0.037357285,0.003534113
