"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML",511,"naive","142dpi","RV_top","A1","P136",0.000569869,0.002178443,0,0,0
"X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML",512,"naive","142dpi","RV_top","A2","P136",0.000509792,0.002042879,0,0,0
"X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML",513,"naive","142dpi","RV_top","A3","P136",0.000816324,0.002407532,4.79e-05,0,0
"X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML",514,"naive","142dpi","RV_top","A4","P136",0.000301313,0.002019899,0,0,0
"X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML",515,"naive","142dpi","RV_top","A5","P136",0.001533985,0.002727735,9.35e-05,0,0
"X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML",531,"naive","142dpi","RV_top","A6","P136",0.000153049,0.000965296,0,0.000247528,0
"X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML",532,"naive","142dpi","RV_top","A7","P136",7.55e-05,0.00121312,0,0,0
"X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML",533,"naive","142dpi","RV_top","A8","P136",0.000145535,0.001532144,0,0,0
"X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML",534,"naive","142dpi","RV_top","A9","P136",0.001038047,0.004464137,0,0,0
"X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML",535,"naive","142dpi","RV_top","A10","P136",0.000436314,0.001584317,0,0,0
"X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML",551,"naive","142dpi","RV_top","A11","P136",0,0.000759807,0,0,0
"X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML",552,"naive","142dpi","RV_top","A12","P136",0.001382608,0.004233342,0,0,0
"X553_Group1C_142dpi_RV_top_173_G_B1_P136.mzXML",553,"naive","142dpi","RV_top","B1","P136",0.000741191,0.003148006,0,0.000310199,0
"X554_Group1C_142dpi_RV_top_174_G_B2_P136.mzXML",554,"naive","142dpi","RV_top","B2","P136",0.001008741,0.002326894,0.000104976,0,0
"X555_Group1C_142dpi_RV_top_175_G_B3_P136.mzXML",555,"naive","142dpi","RV_top","B3","P136",0.00075861,0.00187871,9e-05,0,0
