filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_137,mass_269
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,50,LA,A1,P121,0.002756744,0.000202205
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,50,LA,A2,P121,0.003169723,0.000397928
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,503,Group1A,naive,50,LA,A3,P121,0.005386974,0.001724204
X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,504,Group1A,naive,50,LA,A4,P121,0.006084277,0.002457176
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,505,Group1A,naive,50,LA,A5,P121,0.005852033,0.004607384
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,521,Group1A,naive,50,LA,A6,P121,0.006846545,0.002660254
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,522,Group1A,naive,50,LA,A7,P121,0.010244393,0.003759327
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,523,Group1A,naive,50,LA,A8,P121,0.016293285,0.001929038
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,524,Group1A,naive,50,LA,A9,P121,0.016795153,0.001225853
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,525,Group1A,naive,50,LA,A10,P121,0.00641471,0.001494907
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,541,Group1A,naive,50,LA,A11,P121,0.003337366,0.001252225
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,542,Group1A,naive,50,LA,A12,P121,0.004713783,0.002719594
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,543,Group1A,naive,50,LA,B1,P121,0.01062589,0.001007785
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,544,Group1A,naive,50,LA,B2,P121,0.006479636,0.005576
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,545,Group1A,naive,50,LA,B3,P121,0.003483748,0.001241592
X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,506,Group1B,naive,75,LA,C7,P121,0.003265925,0.00063381
X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,507,Group1B,naive,75,LA,C8,P121,0.003498491,0.000602217
X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,508,Group1B,naive,75,LA,C9,P121,0.006590554,0.001141744
X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,509,Group1B,naive,75,LA,C10,P121,0.006153962,0.000155583
X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,510,Group1B,naive,75,LA,C11,P121,0.00413255,0.002195417
X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,526,Group1B,naive,75,LA,C12,P121,0.003516821,0.000870534
X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,527,Group1B,naive,75,LA,D1,P121,0.004410206,0.001571353
X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,528,Group1B,naive,75,LA,D2,P121,0.010172041,0.00041169
X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,529,Group1B,naive,75,LA,D3,P121,0.007689721,0.002263641
X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML,530,Group1B,naive,75,LA,D4,P121,0.005308647,0.001068936
X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML,546,Group1B,naive,75,LA,D5,P121,0.003997766,0.000582667
X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML,547,Group1B,naive,75,LA,D6,P121,0.004241892,0.001646557
X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML,548,Group1B,naive,75,LA,D7,P121,0,0
X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML,549,Group1B,naive,75,LA,D8,P121,0.003782271,0.00080924
X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML,550,Group1B,naive,75,LA,D9,P121,0.00349543,0.001774456
X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML,511,Group1C,naive,142,LA,A1,P120,0.004878157,0.000551575
X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML,512,Group1C,naive,142,LA,A2,P120,0.008621861,0.00207069
X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML,513,Group1C,naive,142,LA,A3,P120,0.008830974,0.001796131
X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML,514,Group1C,naive,142,LA,A4,P120,0.007171838,0.002134276
X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML,515,Group1C,naive,142,LA,A5,P120,0.010521259,0.003525977
X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML,531,Group1C,naive,142,LA,A6,P120,0.01037658,0.002196299
X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML,532,Group1C,naive,142,LA,A7,P120,0.013776572,0.002984924
X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML,533,Group1C,naive,142,LA,A8,P120,0.012250533,0.002275853
X534_Group1C_142dpi_LA_169_G_A9_P120.mzXML,534,Group1C,naive,142,LA,A9,P120,0.009568532,0.003598661
X535_Group1C_142dpi_LA_170_G_A10_P120.mzXML,535,Group1C,naive,142,LA,A10,P120,0.008981518,0.002348775
X551_Group1C_142dpi_LA_171_G_A11_P120.mzXML,551,Group1C,naive,142,LA,A11,P120,0.007347903,0.00273049
X552_Group1C_142dpi_LA_172_G_A12_P120.mzXML,552,Group1C,naive,142,LA,A12,P120,0.014925103,0.005531068
X553_Group1C_142dpi_LA_173_G_B1_P120.mzXML,553,Group1C,naive,142,LA,B1,P120,0.013098798,0.004252773
X554_Group1C_142dpi_LA_174_G_B2_P120.mzXML,554,Group1C,naive,142,LA,B2,P120,0.00757913,0.003198769
X555_Group1C_142dpi_LA_175_G_B3_P120.mzXML,555,Group1C,naive,142,LA,B3,P120,0.019940948,0.002106438
