"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML",511,"naive","142dpi","LA","A1","P120",0.057088339,0.058687987,0.001422083,0.024448705,0.002961521
"X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML",512,"naive","142dpi","LA","A2","P120",0.043649806,0.035292388,0.001064818,0.015103071,0.001586869
"X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML",513,"naive","142dpi","LA","A3","P120",0.027236625,0.023089072,0.000641467,0.004038756,0.001170106
"X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML",514,"naive","142dpi","LA","A4","P120",0.047952077,0.052034147,0.002287018,0.027557699,0.002876021
"X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML",515,"naive","142dpi","LA","A5","P120",0.060625346,0.055201815,0.001113023,0.016928592,0.002033275
"X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML",531,"naive","142dpi","LA","A6","P120",0.051733298,0.042888715,0.001191404,0.006303823,0.001142296
"X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML",532,"naive","142dpi","LA","A7","P120",0.043925753,0.043052028,0.001768802,0.0125,0.0001139
"X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML",533,"naive","142dpi","LA","A8","P120",0.024615367,0.020005701,0.000327913,0.008255499,0.000229724
"X534_Group1C_142dpi_LA_169_G_A9_P120.mzXML",534,"naive","142dpi","LA","A9","P120",0.036963,0.042606236,0.001968751,0.017850814,0.002617012
"X535_Group1C_142dpi_LA_170_G_A10_P120.mzXML",535,"naive","142dpi","LA","A10","P120",0.025084491,0.027428178,0.001361898,0.010482335,0.00275192
"X551_Group1C_142dpi_LA_171_G_A11_P120.mzXML",551,"naive","142dpi","LA","A11","P120",0.046159079,0.051303816,0.00217678,0.022613185,0.004121204
"X552_Group1C_142dpi_LA_172_G_A12_P120.mzXML",552,"naive","142dpi","LA","A12","P120",0.044920822,0.050934033,0.001883462,0.020508285,0.00572665
"X553_Group1C_142dpi_LA_173_G_B1_P120.mzXML",553,"naive","142dpi","LA","B1","P120",0.057861146,0.068414783,0.002191191,0.02349747,0.005592272
"X554_Group1C_142dpi_LA_174_G_B2_P120.mzXML",554,"naive","142dpi","LA","B2","P120",0.014265241,0.0185481,0.001897406,0.029586849,0.007613493
"X555_Group1C_142dpi_LA_175_G_B3_P120.mzXML",555,"naive","142dpi","LA","B3","P120",0.0730605,0.065029075,0.001441913,0.02509816,0.005432323
"X581_Group3E_142dpi_LA_176_G_B4_P120.mzXML",581,"infected","142dpi","LA","B4","P120",0.076791234,0.064597601,0.000748383,0.013592907,0.002109551
"X582_Group3E_142dpi_LA_177_G_B5_P120.mzXML",582,"infected","142dpi","LA","B5","P120",0.056376917,0.041226667,0.000886637,0.024421916,0.006401568
"X583_Group3E_142dpi_LA_178_G_B6_P120.mzXML",583,"infected","142dpi","LA","B6","P120",0.0620849,0.052140472,0.001578818,0.013405126,0.002711381
"X584_Group3E_142dpi_LA_179_G_B7_P120.mzXML",584,"infected","142dpi","LA","B7","P120",0.048457283,0.049998078,0.001582853,0.019946098,0.00138442
"X585_Group3E_142dpi_LA_180_G_B8_P120.mzXML",585,"infected","142dpi","LA","B8","P120",0.033041032,0.029669492,0.000760197,0.007445944,0.001272537
"X611_Group9_142dpi_LA_181_G_B9_P120.mzXML",611,"combo","142dpi","LA","B9","P120",0.040904168,0.040864835,0.001833863,0.01968127,0.003253505
"X612_Group9_142dpi_LA_182_G_B10_P120.mzXML",612,"combo","142dpi","LA","B10","P120",0.037458795,0.030192926,0.000729655,0.016872715,0.001582912
"X613_Group9_142dpi_LA_183_G_B11_P120.mzXML",613,"combo","142dpi","LA","B11","P120",0.024367267,0.022213259,0.000767059,0.003761233,0.0047613
"X614_Group9_142dpi_LA_184_G_B12_P120.mzXML",614,"combo","142dpi","LA","B12","P120",0.02733701,0.040671161,0.001824565,0.043059272,0.006457442
"X615_Group9_142dpi_LA_185_G_C1_P120.mzXML",615,"combo","142dpi","LA","C1","P120",0.052544277,0.052927773,0.00192559,0.015958452,0.004199913
"X631_Group15_142dpi_LA_191_G_C7_P120.mzXML",631,"BNZ","142dpi","LA","C7","P120",0.060450422,0.056874259,0.001713204,0.018418201,0.004730012
"X632_Group15_142dpi_LA_192_G_C8_P120.mzXML",632,"BNZ","142dpi","LA","C8","P120",0.033342794,0.02621197,0.001083115,0.0061159,0.000695699
"X633_Group15_142dpi_LA_193_G_C9_P120.mzXML",633,"BNZ","142dpi","LA","C9","P120",0.014316755,0.013179181,0.000450513,0.008860814,0.000682864
"X634_Group15_142dpi_LA_194_G_C10_P120.mzXML",634,"BNZ","142dpi","LA","C10","P120",0.045833092,0.042825906,0.000869075,0.00861602,0.001352411
"X635_Group15_142dpi_LA_195_G_C11_P120.mzXML",635,"BNZ","142dpi","LA","C11","P120",0.02965343,0.024557142,0.000923565,0.007428186,0.001142302
"X666_Group3E_142dpi_LA_201_G_D5_P120.mzXML",666,"infected","142dpi","LA","D5","P120",0.056446839,0.05746368,0.001501546,0.015771917,0.009721856
"X667_Group3E_142dpi_LA_202_G_D6_P120.mzXML",667,"infected","142dpi","LA","D6","P120",0.042398969,0.041649403,0.001721232,0.036082257,0.005587892
"X668_Group3E_142dpi_LA_203_G_D7_P120.mzXML",668,"infected","142dpi","LA","D7","P120",0.062083213,0.056639015,0.001527127,0.022350174,0.006043788
"X669_Group3E_142dpi_LA_204_G_D8_P120.mzXML",669,"infected","142dpi","LA","D8","P120",0.054361224,0.060827143,0.002031351,0.029004928,0.009562616
"X670_Group3E_142dpi_LA_205_G_D9_P120.mzXML",670,"infected","142dpi","LA","D9","P120",0.040316645,0.037399989,0.001366219,0.027934494,0.002540332
"X696_Group9_142dpi_LA_206_G_D10_P120.mzXML",696,"combo","142dpi","LA","D10","P120",0.024437394,0.0181,0.000166151,0.002717924,0.00013066
"X697_Group9_142dpi_LA_207_G_D11_P120.mzXML",697,"combo","142dpi","LA","D11","P120",0.022636615,0.0161,0.000209937,0.001727406,0.000309613
"X698_Group9_142dpi_LA_208_G_D12_P120.mzXML",698,"combo","142dpi","LA","D12","P120",0.051401067,0.043,0.000740028,0.018649185,0.006254547
"X699_Group9_142dpi_LA_209_G_E1_P120.mzXML",699,"combo","142dpi","LA","E1","P120",0.08515225,0.081023225,0.0015124,0.018566723,0.009977031
