"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML",511,"naive",142,"RV_top","A1","P136",0,0
"X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML",512,"naive",142,"RV_top","A2","P136",0,0
"X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML",513,"naive",142,"RV_top","A3","P136",0,0
"X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML",514,"naive",142,"RV_top","A4","P136",0,0
"X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML",515,"naive",142,"RV_top","A5","P136",0,0
"X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML",531,"naive",142,"RV_top","A6","P136",0,0
"X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML",532,"naive",142,"RV_top","A7","P136",0,0
"X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML",533,"naive",142,"RV_top","A8","P136",0,0
"X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML",534,"naive",142,"RV_top","A9","P136",0,0
"X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML",535,"naive",142,"RV_top","A10","P136",0,0
"X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML",551,"naive",142,"RV_top","A11","P136",0,0
"X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML",552,"naive",142,"RV_top","A12","P136",0,4.8e-05
"X553_Group1C_142dpi_RV_top_173_G_B1_P136.mzXML",553,"naive",142,"RV_top","B1","P136",0,0.0001049
"X554_Group1C_142dpi_RV_top_174_G_B2_P136.mzXML",554,"naive",142,"RV_top","B2","P136",0,0
"X555_Group1C_142dpi_RV_top_175_G_B3_P136.mzXML",555,"naive",142,"RV_top","B3","P136",0,0
"X581_Group3E_142dpi_RV_top_176_G_B4_P136.mzXML",581,"infected",142,"RV_top","B4","P136",0,0.000228289
"X582_Group3E_142dpi_RV_top_177_G_B5_P136.mzXML",582,"infected",142,"RV_top","B5","P136",0,0.000383836
"X583_Group3E_142dpi_RV_top_178_G_B6_P136.mzXML",583,"infected",142,"RV_top","B6","P136",0,0.000189735
"X584_Group3E_142dpi_RV_top_179_G_B7_P136.mzXML",584,"infected",142,"RV_top","B7","P136",0,5.8e-05
"X585_Group3E_142dpi_RV_top_180_G_B8_P136.mzXML",585,"infected",142,"RV_top","B8","P136",0,0
"X611_Group9_142dpi_RV_top_181_G_B9_P136.mzXML",611,"combo",142,"RV_top","B9","P136",0,0.000523323
"X612_Group9_142dpi_RV_top_182_G_B10_P136.mzXML",612,"combo",142,"RV_top","B10","P136",0,0.000465131
"X613_Group9_142dpi_RV_top_183_G_B11_P136.mzXML",613,"combo",142,"RV_top","B11","P136",0,0.000217049
"X614_Group9_142dpi_RV_top_184_G_B12_P136.mzXML",614,"combo",142,"RV_top","B12","P136",0,0.001175458
"X615_Group9_142dpi_RV_top_185_G_C1_P136.mzXML",615,"combo",142,"RV_top","C1","P136",0,6.88e-05
"X631_Group15_142dpi_RV_top_191_G_C7_P136.mzXML",631,"BNZ",142,"RV_top","C7","P136",0,0.000653108
"X632_Group15_142dpi_RV_top_192_G_C8_P136.mzXML",632,"BNZ",142,"RV_top","C8","P136",0,6.89e-05
"X633_Group15_142dpi_RV_top_193_G_C9_P136.mzXML",633,"BNZ",142,"RV_top","C9","P136",0,0
"X634_Group15_142dpi_RV_top_194_G_C10_P136.mzXML",634,"BNZ",142,"RV_top","C10","P136",0,0.000287006
"X635_Group15_142dpi_RV_top_195_G_C11_P136.mzXML",635,"BNZ",142,"RV_top","C11","P136",0,0.000375859
"X666_Group3E_142dpi_RV_top_201_G_D5_P136.mzXML",666,"infected",142,"RV_top","D5","P136",0,0.000308143
"X667_Group3E_142dpi_RV_top_202_G_D6_P136.mzXML",667,"infected",142,"RV_top","D6","P136",0,0.000167156
"X668_Group3E_142dpi_RV_top_203_G_D7_P136.mzXML",668,"infected",142,"RV_top","D7","P136",0,0.000276301
"X669_Group3E_142dpi_RV_top_204_G_D8_P136.mzXML",669,"infected",142,"RV_top","D8","P136",0,0.001552789
"X670_Group3E_142dpi_RV_top_205_G_D9_P136.mzXML",670,"infected",142,"RV_top","D9","P136",0,0.0001333
"X696_Group9_142dpi_RV_top_206_G_D10_P136.mzXML",696,"combo",142,"RV_top","D10","P136",0,5.93e-05
"X697_Group9_142dpi_RV_top_207_G_D11_P136.mzXML",697,"combo",142,"RV_top","D11","P136",0,0.0001075
"X698_Group9_142dpi_RV_top_208_G_D12_P136.mzXML",698,"combo",142,"RV_top","D12","P136",0,0.000160169
"X699_Group9_142dpi_RV_top_209_G_E1_P136.mzXML",699,"combo",142,"RV_top","E1","P136",0,0.000215561
"X700_Group9_142dpi_RV_top_210_G_E2_P136.mzXML",700,"combo",142,"RV_top","E2","P136",0,0.005205618
"X716_Group15_142dpi_RV_top_216_G_E8_P136.mzXML",716,"BNZ",142,"RV_top","E8","P136",0,0.000393353
"X717_Group15_142dpi_RV_top_217_G_E9_P136.mzXML",717,"BNZ",142,"RV_top","E9","P136",0,0
"X718_Group15_142dpi_RV_top_218_G_E10_P136.mzXML",718,"BNZ",142,"RV_top","E10","P136",0,0
