filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,mass_400,mass_500,mass_600,mass_700,mass_800
X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML,511,naive,142dpi,LA,A1,P120,0.002077955,0.002490702,0,0.000232453,0.000149389
X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,511,naive,142dpi,LV_bottom,A1,P132,0.002386624,0.006808896,0.000837413,0.000237425,0
X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,511,naive,142dpi,LV_top,A1,P128,0.007457554,0.027445968,0.000521874,0.000673111,0
X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,511,naive,142dpi,RA,A1,P124,0.000654335,0.003736275,0,0.00083227,0
X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,511,naive,142dpi,RV_bottom,A1,P140,0.011070737,0.001992138,0,0,0
X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,511,naive,142dpi,RV_top,A1,P136,0.000569869,0.002178443,0,0,0
X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML,512,naive,142dpi,LA,A2,P120,0.001422483,0.001827962,0.0000259,0.000955615,0
X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,512,naive,142dpi,LV_bottom,A2,P132,0.001949328,5.01E-03,0.000781512,0.000308839,0.00011588
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,512,naive,142dpi,LV_top,A2,P128,0.008515695,0.027412065,0.000255829,0.000566018,0
X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,512,naive,142dpi,RA,A2,P124,0.001902661,7.22E-03,0,0.003141999,0
X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,512,naive,142dpi,RV_bottom,A2,P140,0.018662542,0.003579901,0,0,0
X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,512,naive,142dpi,RV_top,A2,P136,0.000509792,0.002042879,0,0,0
X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML,513,naive,142dpi,LA,A3,P120,0.000422008,0.001031656,0.0000461,0,0
X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,513,naive,142dpi,LV_bottom,A3,P132,0.001434203,4.69E-03,0.000345234,0.000658709,0
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,513,naive,142dpi,LV_top,A3,P128,0.008847471,0.03699675,0,7.03E-03,0.000523528
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,513,naive,142dpi,RA,A3,P124,0.005683259,6.81E-03,0.000069,0.010410065,0.000484937
X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,513,naive,142dpi,RV_bottom,A3,P140,0.012768515,0.002431946,0,0,0
X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,513,naive,142dpi,RV_top,A3,P136,0.000816324,0.002407532,0.0000479,0,0
X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML,514,naive,142dpi,LA,A4,P120,0.00186151,0.002679198,0.0000195,0.001053337,0.0000818
X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,514,naive,142dpi,LV_bottom,A4,P132,0.001641283,3.34E-03,0.000589426,0.0000834,0
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,514,naive,142dpi,LV_top,A4,P128,0.006734363,0.018650592,0.000214131,0,0
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,514,naive,142dpi,RA,A4,P124,0.004470928,0.004333828,0.000201159,0.001951171,0
X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,514,naive,142dpi,RV_bottom,A4,P140,0.000315233,0.003336661,0,0.0000606,0
X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,514,naive,142dpi,RV_top,A4,P136,0.000301313,0.002019899,0,0,0
X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML,515,naive,142dpi,LA,A5,P120,0.001966674,0.002742174,0.00002,0.000639894,0.00015191
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,515,naive,142dpi,LV_bottom,A5,P132,0.001665581,0.005882812,0.000535521,0,0
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,515,naive,142dpi,LV_top,A5,P128,0.012388772,0.034749768,0.000635973,6.52E-03,0.000621587
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,515,naive,142dpi,RA,A5,P124,0.00050434,2.66E-03,0,0.000772434,0
X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,515,naive,142dpi,RV_bottom,A5,P140,0.000593772,0.004155339,0,0,0
X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,515,naive,142dpi,RV_top,A5,P136,0.001533985,0.002727735,0.0000935,0,0
X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML,531,naive,142dpi,LA,A6,P120,0.001182584,0.001621899,0.0000375,0,0
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,531,naive,142dpi,LV_bottom,A6,P132,0.001219054,3.26E-03,0.000628733,0.000790339,0.0000656
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,531,naive,142dpi,LV_top,A6,P128,0.012357413,0.031136552,0.000643272,0.007864901,0.000467785
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,531,naive,142dpi,RA,A6,P124,0.003767551,9.47E-03,0,2.65E-03,0
X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,531,naive,142dpi,RV_bottom,A6,P140,0.000452,0.004626188,0,0,0
X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,531,naive,142dpi,RV_top,A6,P136,0.000153049,0.000965296,0,0.000247528,0
X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML,532,naive,142dpi,LA,A7,P120,0.001504649,0.001894215,0.0000566,1.06E-04,0
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,532,naive,142dpi,LV_bottom,A7,P132,0.001795573,0.004772157,0.000495074,0,0
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,532,naive,142dpi,LV_top,A7,P128,0.009592636,0.022187879,0.000253102,0.001157849,0.0000847
X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,532,naive,142dpi,RA,A7,P124,0.001517949,0.011335882,0,0.005563492,0
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,532,naive,142dpi,RV_bottom,A7,P140,0.000172605,0.002749717,0,0,0
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,532,naive,142dpi,RV_top,A7,P136,0.0000755,0.00121312,0,0,0
X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML,533,naive,142dpi,LA,A8,P120,0.000233053,0.000824168,0,0,0
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,533,naive,142dpi,LV_bottom,A8,P132,0.002234918,5.42E-03,0.000413138,0.000325774,0.0000637
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,533,naive,142dpi,LV_top,A8,P128,0.009171067,0.032161322,0.000284424,3.15E-03,0.0000814
X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML,533,naive,142dpi,RA,A8,P124,0.001959477,4.74E-03,0.000112444,0.00332913,0
