cluster_index,filename,MA,NG,MANG,impacted,class
aq_pos_1175,aq_pos_mass_635.269_3.689_1175,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_1178,aq_pos_mass_828.508_3.626_1178,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_1190,aq_pos_mass_828.675_3.627_1190,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1198,aq_pos_mass_903.827_3.631_1198,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1200,aq_pos_mass_635.267_3.681_1200,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_1235,aq_pos_mass_994.108_3.627_1235,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_1237,aq_pos_mass_764.777_3.628_1237,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1245,aq_pos_mass_764.854_3.628_1245,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1248,aq_pos_mass_903.735_3.63_1248,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1250,aq_pos_mass_765.009_3.626_1250,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1251,aq_pos_mass_764.932_3.63_1251,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_1467,aq_pos_mass_888.763_5.417_1467,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_148,aq_pos_mass_404.219_4.19_148,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_1509,aq_pos_mass_914.778_6.012_1509,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1526,aq_pos_mass_932.788_5.821_1526,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1544,aq_pos_mass_932.789_5.899_1544,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1547,aq_pos_mass_932.787_5.63_1547,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_1628,aq_pos_mass_903.918_3.627_1628,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_17,aq_pos_mass_387.192_4.19_17,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_1846,aq_pos_mass_330.133_3.921_1846,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_187,aq_pos_mass_221.042_0.285_187,MA,NG,MANG,MA and NG and MANG,Lipids and lipid-like molecules
aq_pos_1938,aq_pos_mass_212.164_3.84_1938,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2054,aq_pos_mass_227.114_0.271_2054,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic acids and derivatives
aq_pos_2055,aq_pos_mass_146.117_0.326_2055,MA,NG,not_impacted_by_treatment,MA and NG,Organic nitrogen compounds
aq_pos_2057,aq_pos_mass_227.114_0.339_2057,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic acids and derivatives
aq_pos_2064,aq_pos_mass_154.058_0.311_2064,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2068,aq_pos_mass_245.149_3.932_2068,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2070,aq_pos_mass_156.077_0.339_2070,MA,NG,not_impacted_by_treatment,MA and NG,Organic acids and derivatives
aq_pos_2071,aq_pos_mass_156.077_0.269_2071,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2072,aq_pos_mass_207.014_0.288_2072,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2074,aq_pos_mass_179.128_0.327_2074,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2080,aq_pos_mass_372.31_4.299_2080,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2087,aq_pos_mass_144.102_0.335_2087,MA,NG,MANG,MA and NG and MANG,Organic nitrogen compounds
